prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,bertscore_scorer,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,llama3-8b,zero_shot,"No, vaccines do not cause autism spectrum disorder (ASD). Extensive research has shown that there is no link between vaccines and ASD. Many large, high-quality studies conducted in different countries have reached the same conclusion: vaccines are safe and do not increase the risk of developing ASD.

In fact, a study was once published suggesting a connection between vaccines and ASD, but it was later found to be incorrect and fraudulent. The journal that published it withdrew the study, and the doctor who authored it lost his medical license.

The World Health Organization (WHO) and other reputable health organizations have thoroughly investigated this claim and concluded that vaccines do not cause ASD. They also state that factors such as prenatal exposure to certain medications, genetic variations, and others may contribute to an increased risk for ASD, but more research is needed to fully understand these associations.

It's essential to rely on credible sources of information when learning about vaccine safety and potential risks. If you're concerned about your child's development or would like to discuss their vaccination schedule, I recommend speaking with your pediatrician or healthcare provider.",10130.68,1080,217,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nichd_about_c0|nichd_about_c1,WHO Autism Questions and Answers|NICHD About Autism,1.96,0.9946,1,0.0,0,2026-08-25T04:08:22.697959,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8496571183204651,roberta-large/bert-score-0.3.12,0.16666666666666666
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,llama3-8b,zero_shot,"According to the information provided, there isn't a direct answer about whether more children are being diagnosed with ASD. However, it does mention that early intervention programs can have major long-term positive effects on symptoms and later skills for children with autism.

It's essential to note that increased awareness and screening efforts might lead to more children being identified as having ASD. The American Academy of Pediatrics recommends that all children receive screening for autism, which could contribute to an increase in diagnoses.

If you're concerned about your child's development or would like to discuss their potential risk factors, I recommend speaking with their healthcare provider about scheduling a professional evaluation. They will be able to assess your child's individual needs and provide guidance on the next steps.",6834.55,1144,145,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,2.17,1.0,1,0.0,0,2026-08-25T04:08:29.538869,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8557633757591248,roberta-large/bert-score-0.3.12,0.13877551020408163
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,llama3-8b,zero_shot,"Yes, adults can be diagnosed with Autism Spectrum Disorder (ASD). While symptoms often appear in early childhood, some people may not receive a diagnosis until later in life. This is because:

1.  Some individuals might have milder symptoms that don't become apparent until they face challenges or stressors.
2.  Others might have learned to adapt and hide their difficulties, making it harder for them to recognize the need for help.

The Diagnostic and Statistical Manual of Mental Disorders (DSM-5) does not specify an age limit for diagnosing ASD. However, research suggests that most children are diagnosed before the age of 8 years old. 

If you're concerned about yourself or someone else's potential autism diagnosis as an adult, consult a qualified healthcare professional who specializes in neurodevelopmental disorders. They will assess your individual situation and provide guidance on next steps.

In terms of screening tools, while there aren't specific ones designed specifically for adults like Q-CHAT-10 or M-CHAT-R/F, there are various assessments used by professionals to evaluate social communication skills, such as the Social Responsiveness Scale (SRS), the Autism Quotient (AQ), and the Ritvo-Folstein scale. These evaluations should only be conducted under the supervision of a licensed clinician.

Please note that these screenings are not diagnostic tools but rather indicators of risk levels. A high-risk score doesn't confirm a diagnosis; instead, it signals the need for further evaluation by a qualified professional.",13926.62,1143,300,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.56,1.0,1,0.0,0,2026-08-25T04:08:43.471292,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8452937602996826,roberta-large/bert-score-0.3.12,0.1638418079096045
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,llama3-8b,zero_shot,"Mitochondrial diseases or disorders are a group of conditions that affect the mitochondria, which are tiny structures within cells that produce energy for the body. The mitochondria are often referred to as the ""powerhouses"" of the cell.

In people with mitochondrial disease, the mitochondria don't work properly, leading to problems with energy production and potentially causing a range of symptoms. These can include muscle weakness, fatigue, seizures, developmental delays, and other issues.

There's no direct connection between mitochondrial diseases and autism spectrum disorder (ASD). However, some research suggests that there may be an increased risk of ASD in children born to parents who have mitochondrial DNA mutations.

If you're concerned about your child's development or health, it's essential to speak with their healthcare provider about any concerns you might have. They'll help determine if further evaluation is needed and recommend next steps.

Would you like to discuss anything else related to your child's health?",8904.85,1137,190,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c19|nimh_asd_c20|nimh_asd_c18|nimh_asd_c1|nimh_asd_c2,NIMH Autism Spectrum Disorder,1.54,1.0,1,0.0,0,2026-08-25T04:08:52.381852,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8701227307319641,roberta-large/bert-score-0.3.12,0.19269102990033224
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,llama3-8b,zero_shot,"There isn't a direct relationship between mitochondrial disease and autism that is widely recognized. However, some research suggests that children with certain types of mitochondrial disorders may be at an increased risk for developing developmental delays or other conditions that can sometimes co-occur with autism.

If you're concerned about your child's development, it's essential to consult with their healthcare provider. They will assess the situation and recommend further evaluation if needed.

For now, let's focus on what we know: there are many factors that might increase the likelihood of autism, but no single cause has been identified. Research continues to explore various potential links, including genetic, environmental, and medical factors.

To better understand your child's specific needs, I recommend speaking with their pediatrician or a qualified professional who can provide personalized guidance and support.",7613.88,1134,161,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nimh_asd_c19|nimh_asd_c20,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder,1.57,1.0,1,0.0,0,2026-08-25T04:09:00.001501,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8604006767272949,roberta-large/bert-score-0.3.12,0.152
P006,general_health_knowledge,What is regressive encephalopathy?,llama3-8b,zero_shot,"I'm not familiar with the term ""regressive encephalopathy"" in this context. However, I can tell you that neonatal encephalopathy is a condition where a baby develops brain problems or damage shortly after birth.

If you're concerned about your child's development, it might be helpful to speak with a healthcare professional who can assess their needs and provide guidance on next steps.",4364.32,1252,80,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nice_cg128_recommendations_c16|nice_cg128_recommendations_c17|nice_cg128_recommendations_c15|nz_autism_guideline_summary_c48|nz_autism_guideline_summary_c49,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary,1.55,1.0,1,0.0,0,2026-08-25T04:09:04.371691,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8541759848594666,roberta-large/bert-score-0.3.12,0.12834224598930485
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,llama3-8b,zero_shot,"I can't provide a direct answer to your question. However, I can tell you that the term ""encephalopathy"" refers to brain disease or damage.

According to the World Health Organization (WHO), autism is not caused by encephalopathy or any other type of brain injury. Autism is a complex neurodevelopmental disorder with no single known cause, but rather multiple genetic and environmental factors contributing to its development.

If you're concerned about your child's health or behavior, it's always best to consult with a qualified healthcare professional for personalized advice and guidance. They will be able to assess your child's individual needs and recommend the most appropriate course of action.

In terms of screening tools like the Q-CHAT-10 and M-CHAT-R/F, these are designed to identify children who may be at risk of having an autism spectrum disorder (ASD). If your child has been screened using one of these tools, their score indicates whether they are at higher or lower risk of ASD. A high-risk result does not confirm a diagnosis, but rather suggests further evaluation by a specialist might be helpful.

Would you like more information on what a high-risk result means in terms of next steps?",11167.6,1149,241,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nz_autism_guideline_summary_c11|nz_autism_guideline_summary_c12,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.85,1.0,1,0.0,0,2026-08-25T04:09:15.546003,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8375137448310852,roberta-large/bert-score-0.3.12,0.07500000000000001
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,llama3-8b,zero_shot,"Mitochondrial disease is a group of disorders that affect the mitochondria, which are the energy-producing structures within cells. Research suggests that there may be an association between mitochondrial disease and other brain-related disorders.

Some studies have found that individuals with mitochondrial disease are more likely to also experience symptoms related to autism spectrum disorder (ASD). However, it's essential to note that this does not mean that having mitochondrial disease automatically means someone has ASD or vice versa.

The relationship between mitochondrial disease and ASD is complex and still being researched. Some research suggests that mitochondrial dysfunction might contribute to some cases of ASD, but much more study is needed to fully understand this potential link.

If you're concerned about your child's development or suspect they might have ASD, I recommend speaking with their healthcare provider about scheduling a professional evaluation. They can assess their overall health and provide guidance on next steps.

In terms of what we know so far:

* Mitochondrial disease affects the body's ability to produce energy.
* There may be a possible connection between mitochondrial disease and ASD, but more research is needed to confirm this.
* If you have concerns about your child's development, consult with their healthcare provider for personalized advice.

For now, let's focus on taking the first step: discussing any concerns you have with your child's healthcare provider. They'll help determine if further evaluation is necessary and guide you through the process.",12789.4,1128,280,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nichd_about_c3|nichd_about_c4|nichd_about_c2|nimh_asd_c19|nimh_asd_c20,NICHD About Autism|NIMH Autism Spectrum Disorder,1.57,0.9873,1,0.0,0,2026-08-25T04:09:28.341329,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8245856165885925,roberta-large/bert-score-0.3.12,0.11295681063122924
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,llama3-8b,zero_shot,"Vaccines do not cause or worsen mitochondrial diseases. Mitochondrial diseases are a group of disorders that affect the mitochondria, which are the energy-producing structures within cells.

According to the World Health Organization (WHO), there is no evidence that vaccines can trigger or exacerbate mitochondrial diseases. In fact, research has shown that many large and high-quality studies have found no link between vaccination and an increased risk of mitochondrial disease.

The WHO also notes that some people with pre-existing mitochondrial diseases may be at higher risk for complications from certain infections, such as influenza or pneumonia. However, this does not mean that vaccines themselves cause these conditions in individuals without underlying mitochondrial issues.

If you're concerned about your child's health or would like more information on vaccine safety, I recommend speaking with your healthcare provider. They will be able to provide personalized guidance based on your family's specific needs and circumstances.

Would you like me to explain anything else related to vaccinations?",9367.96,1121,191,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nz_autism_guideline_summary_c72|nz_autism_guideline_summary_c73,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.55,1.0,1,0.0,0,2026-08-25T04:09:37.715097,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8598731756210327,roberta-large/bert-score-0.3.12,0.168
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,llama3-8b,zero_shot,"I'm not aware of any information that suggests all children are routinely tested for mitochondrial diseases. Mitochondrial disease is a rare condition, and testing would typically be considered on an individual basis if there's a family history or other risk factors.

Regarding autism, the M-CHAT (Modified Checklist for Autism in Toddlers) screening tool I can provide more information about doesn't screen for autism itself but rather identifies potential signs that may indicate a child might have autism. It does this by looking at behaviors such as social communication and interaction issues, like difficulty making eye contact or responding to their name being called.

If you're concerned about your child's development, it's essential to discuss these concerns with your pediatrician or healthcare provider. They will assess your child's overall health and development and recommend further evaluation or testing if needed.

In terms of next steps, if you're still worried after discussing your concerns with your child's healthcare professional, consider reaching out to your local early intervention agency to find out what services are available in your area. If you're in the US, you can visit https://www.autismspeaks.org/resource-guide and select ""State Early Intervention Providers"" to get started.",11026.06,1170,240,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c7|mchat_faq_c8|mchat_faq_c6|nimh_asd_c1|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder,1.54,1.0,1,0.0,0,2026-08-25T04:09:48.747038,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8548071980476379,roberta-large/bert-score-0.3.12,0.12213740458015268
