prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,few_shot,"No, extensive research has shown that vaccinations do not cause autism spectrum disorder. Many large, high",1397.06,1757,22,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|nichd_about_c0|nimh_asd_c0|who_qa_c6|nichd_symptoms_c0,WHO Autism Questions and Answers|NICHD About Autism|NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?,2.27,1.0,1,0.0,0,2026-07-23T01:45:45.537940,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8496657609939575,0.064
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,few_shot,"No, the number of children being diagnosed with ASPD has remained relatively stable over the past decade. However, there has been an increase in awareness and understanding of ASPD, which has led to more children receiving appropriate evaluations and services.",2575.24,1774,51,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nichd_early_intervention_c0|nimh_asd_c2|nichd_treatments_c1|nz_autism_guideline_summary_c20,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|NICHD What are the treatments for autism?|Aotearoa New Zealand Autism Guideline Summary,1.57,1.0,1,0.0,0,2026-07-23T01:45:48.119956,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8759357929229736,0.19867549668874177
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,few_shot,"Yes, adults can be diagnosed with autism spectrum disorder (ASC), although it is less common than childhood diagnoses. The diagnostic criteria for ASC require evidence of difficulties with social communication and interaction, restricted interests and repetitive behaviors, and symptoms that affect daily functioning across multiple settings. It is important to note that an adult diagnosis of ASC typically involves a comprehensive evaluation by a team of professionals, including a psychiatrist, psychologist, and possibly other specialists such as speech therapists or occupational therapists.",4836.08,1797,104,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nimh_asd_c0|nichd_early_intervention_c0|nz_autism_guideline_summary_c20|nichd_treatments_c0,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|Aotearoa New Zealand Autism Guideline Summary|NICHD What are the treatments for autism?,1.69,1.0,1,0.0,0,2026-07-23T01:45:52.963117,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.86983722448349,0.17708333333333334
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,few_shot,"Mitochondria are small organelles found within cells that produce energy through cellular respiration. Mitochondrial diseases or disorders occur when there is a problem with the structure, function, or number of mitochondria in a cell. These types of disorders can cause a wide range of symptoms, including muscle weakness, neurological problems, and gastrointestinal issues. They can also lead to developmental delays and cognitive impairments. While mitochondrial diseases can be inherited or acquired, they are relatively rare and can be challenging to diagnose due to their diverse range of symptoms. Treatment options vary depending on the specific type of mitochondrial disorder and may include medications, dietary changes, and lifestyle modifications.",6837.04,1835,155,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c19|nimh_asd_c1|nichd_symptoms_c0|nichd_treatments_c0|nice_cg128_recommendations_c36,NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?|NICHD What are the treatments for autism?|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.72,1.0,1,0.0,0,2026-07-23T01:45:59.807400,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8725225329399109,0.217741935483871
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,few_shot,"There is ongoing research into the potential link between mitochondrial dysfunction and autism. While some studies have suggested a connection, the evidence is not yet conclusive and further research is needed to establish a definitive relationship. It is important to note that a diagnosis of autism is based on a comprehensive clinical assessment by a qualified professional, and should not be made solely based on a screening tool or test result.",3959.55,1747,85,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nimh_asd_c19|nz_autism_guideline_summary_c11|nimh_asd_c20|nichd_causes_c2,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder|Aotearoa New Zealand Autism Guideline Summary|NICHD What causes autism?,1.67,1.0,1,0.0,0,2026-07-23T01:46:03.773852,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8562425971031189,0.18888888888888888
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,few_shot,Regressive enceph,807.48,1891,7,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nice_cg128_recommendations_c16|nz_autism_guideline_summary_c48|nimh_asd_c0|nz_autism_guideline_summary_c47|who_qa_c0,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers,1.56,1.0,0,0.0,0,2026-07-23T01:46:04.588017,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.7891584038734436,0.016
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,few_shot,"Yes, there is a relationship between autism spectrum disorder (ASD) and encephalitis, which is inflammation of the brain. Some studies suggest that encephalitis may increase the risk of developing ASD. However, it is important to note that this is still an area of ongoing research and more studies are needed to fully understand the relationship between these two conditions.",3879.11,1914,81,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nz_autism_guideline_summary_c11|nice_cg128_recommendations_c16|who_qa_c4|nice_cg128_recommendations_c31,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.67,1.0,1,0.0,0,2026-07-23T01:46:08.474264,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8653853535652161,0.15217391304347827
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,few_shot,"There is limited research on the relationship between mitochondonrial disease and other disordersrelated to the brain. However, some studies suggest that mitochondrial dysfunction may play a role in certain neurological and psychiatric conditions, including autism spectrum disorder, Parkinson's disease, Alzheimer's disease, and depression. However, more research is needed to fully understand this relationship and its potential implications for treatment and prevention.",4268.71,1872,90,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nichd_about_c3|nimh_asd_c19|who_qa_c0|nichd_causes_c0|nz_autism_guideline_summary_c14,NICHD About Autism|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What causes autism?|Aotearoa New Zealand Autism Guideline Summary,1.67,1.0,1,0.0,0,2026-07-23T01:46:12.749793,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8450028896331787,0.13675213675213674
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,few_shot,"No, there is currently no evidence to suggest that vaccinations cause or worsen any form of mitochondrial disease. While some parents have reported concerns about vaccines causing mitochondrial disorders, extensive research has been conducted and found no association between vaccination and mitochondrial dysfunction. It is important to note that mitochondrial diseases are complex and multifactorial, meaning they can be caused by a combination of genetic and environmental factors. As with any medical concern, it is best to consult with a healthcare provider for personalized advice and guidance.",5267.11,1721,118,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|who_qa_c8|nz_autism_guideline_summary_c72|nimh_asd_c19|nichd_causes_c3,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.68,1.0,1,0.0,0,2026-07-23T01:46:18.023850,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.871903657913208,0.23529411764705885
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,few_shot,"No, there is currently no routine testing for mitochondrial disease in children. However, if a child is suspected to have mitochondrial disease due to symptoms or family history, a genetic test may be ordered. For children with autism, it is important to note that while mitochondrial disease can co-occur with autism, it does not cause autism itself. Therefore, a diagnosis of autism is typically made based on behavioral and cognitive assessments, not based on mitochondrial testing results.",5060.61,2015,110,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c7|nimh_asd_c1|nichd_early_intervention_c5|nichd_early_intervention_c4|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.66,1.0,1,0.0,0,2026-07-23T01:46:23.091667,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8897725939750671,0.2153846153846154
