prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, extensive research has shown that vaccinations do not cause autism spectrum disorder. Many large, high",1784.21,1227,22,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|nichd_about_c0|nimh_asd_c0|who_qa_c6|nichd_symptoms_c0,WHO Autism Questions and Answers|NICHD About Autism|NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?,1.83,1.0,1,0.0,0,2026-07-23T01:43:03.595925,
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"No, the number of children being diagnosed with autism spectrum disorder (AS",970.37,1244,16,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nichd_early_intervention_c0|nimh_asd_c2|nichd_treatments_c1|nz_autism_guideline_summary_c20,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|NICHD What are the treatments for autism?|Aotearoa New Zealand Autism Guideline Summary,2.38,1.0,1,0.0,0,2026-07-23T01:43:04.572284,
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"No, adults cannot be diagnosed with autism spectrum disorder (ASC). ASC is typically diagnosed in childhood, usually before the age of five. While it is possible for individuals to exhibit traits associated with ASC throughout their lives, a formal diagnosis requires evidence of symptoms within the first two years of",2712.97,1267,60,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nimh_asd_c0|nichd_early_intervention_c0|nz_autism_guideline_summary_c20|nichd_treatments_c0,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|Aotearoa New Zealand Autism Guideline Summary|NICHD What are the treatments for autism?,1.71,1.0,1,0.0,0,2026-07-23T01:43:07.290847,
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"I'm sorry, but I don't see any sources related to mitochondrial diseases. Can you please provide me with more context or clarify your question?",1811.52,1305,36,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c19|nimh_asd_c1|nichd_symptoms_c0|nichd_treatments_c0|nice_cg128_recommendations_c36,NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?|NICHD What are the treatments for autism?|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.59,1.0,1,0.0,0,2026-07-23T01:43:09.107575,
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is ongoing research into the potential link between mitochondrial dysfunction and autism. While some studies have suggested a possible association, more research is needed to establish a definitive connection. It's important to note that while mitochondrial dysfunctions can contribute to various health issues, including autism, it does not mean that autism is caused solely by mitochondrial problems. As with any health concern, it's crucial to consult with a healthcare professional for personalized advice and guidance.",4514.58,1217,105,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nimh_asd_c19|nz_autism_guideline_summary_c11|nimh_asd_c20|nichd_causes_c2,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder|Aotearoa New Zealand Autism Guideline Summary|NICHD What causes autism?,1.8,1.0,1,0.0,0,2026-07-23T01:43:13.627722,
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"I apologize, but the sources provided do not mention ""regressive enceph",1137.73,1361,19,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nice_cg128_recommendations_c16|nz_autism_guideline_summary_c48|nimh_asd_c0|nz_autism_guideline_summary_c47|who_qa_c0,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers,1.71,1.0,1,0.0,0,2026-07-23T01:43:14.771101,
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"Encephalopathy refers to inflammation or injury of the brain. There is some evidence to suggest that encephalitis, a type of encephalitis that affects the brain, may increase the risk of autism spectrum disorder (ASD), although this is still being studied. However, it is important to note that not all cases of encephalitic autism can be traced back to encephalitis. Additionally, many children with ASD do not have a known history of encephalites. Therefore, while there may be a connection between encephalitis and ASD, it is not a definitive diagnosis or explanation for every case of ASD.",6309.44,1384,150,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nz_autism_guideline_summary_c11|nice_cg128_recommendations_c16|who_qa_c4|nice_cg128_recommendations_c31,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.66,1.0,1,0.0,0,2026-07-23T01:43:21.086111,
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"There is limited information available regarding the relationship between mitochontrial disease and other disordersrelated to the brain. However, it is known that mitochondria play an important role in energy production within cells, including neurons in the brain. Dysfunction in mitochondrial function has been linked to various neurological and neurodevelopmental disorders, including autism spectrum disorder (ASC), epilepsy, Parkinson's disease, and Alzheimer's disease.

It is important to note that while mitochondrial dysfunction has been implicated in these disorders, it is not yet fully understood how mitochondrial dysfunctions contribute to the development and progression of these conditions. Further research is needed to better understand the relationship between mitochondonrial disease and other disorders of the brain.",7112.31,1342,169,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nichd_about_c3|nimh_asd_c19|who_qa_c0|nichd_causes_c0|nz_autism_guideline_summary_c14,NICHD About Autism|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What causes autism?|Aotearoa New Zealand Autism Guideline Summary,1.57,1.0,1,0.0,0,2026-07-23T01:43:28.203746,
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,"No, there is no evidence to suggest that vaccines cause or w",926.22,1191,15,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|who_qa_c8|nz_autism_guideline_summary_c72|nimh_asd_c19|nichd_causes_c3,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.67,1.0,1,0.0,0,2026-07-23T01:43:29.135236,
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitocondrial diseases unless there are specific indicators or symptoms. However, it's important to note that some research suggests a potential link between mitochondrial dysfunction and autism, although more studies are needed to confirm this connection. If you have concerns about your child's health, it's best to discuss these with your child's healthcare provider.",3990.55,1485,86,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c7|nimh_asd_c1|nichd_early_intervention_c5|nichd_early_intervention_c4|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.71,1.0,1,0.0,0,2026-07-23T01:43:33.131362,
P011,next_steps_referral,Should I have my child tested for a mitochondrial disease?,mistral-7b,zero_shot,"This question is not related to autism screening tools, so it cannot be answered using the sources provided. Please consult with a healthcare professional for information regarding mitochondrial diseases and testing options.",1966.73,1308,40,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c1|mchat_faq_c0|nz_autism_guideline_summary_c51|nz_autism_guideline_summary_c99|nice_cg128_recommendations_c4,M-CHAT Parent and Professional FAQ|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,2.24,1.0,1,0.0,0,2026-07-23T01:43:35.104095,
P012,general_autism_knowledge,What is autism spectrum disorder?,mistral-7b,zero_shot,"Autism spectrum disorder (ASC) is a neurodevelopmental disorder that affects how individuals interact with others, communicate verbally and nonverbally, learn, and behave in various settings. It is typically diagnosed in early childhood, although it can be diagnosed at any point in life. People with ASC often exhibit difficulties with social communication and interaction, restricted interests and repetitive behaviors, and challenges with functioning in daily life.",3925.83,1403,86,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,nimh_asd_c0|who_qa_c0|nichd_symptoms_c0|nice_cg128_overview_c0|nz_autism_guideline_summary_c115,NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What are the symptoms of autism?|NICE CG128 Autism Spectrum Disorder in Under 19s Overview|Aotearoa New Zealand Autism Guideline Summary,1.71,1.0,1,0.0,0,2026-07-23T01:43:39.035759,
P013,general_autism_knowledge,What causes ASD?,mistral-7b,zero_shot,"There isn't enough information to determine the exact cause of autism. However, research suggests that a combination of genetic and environmental factors may influence early brain development and increase the likelihood of autism.",2050.29,1286,41,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,nimh_asd_c6|nichd_causes_c0|nimh_asd_c5|nichd_causes_c4|who_qa_c4,NIMH Autism Spectrum Disorder|NICHD What causes autism?|WHO Autism Questions and Answers,1.93,1.0,1,0.0,0,2026-07-23T01:43:41.092397,
P014,diagnosis_boundary,How is ASD diagnosed?,mistral-7b,zero_shot,"Autism Spectrum Disorders (ASD) are typically diagnosed through a combination of observation, interview, and testing. The process usually begins with a referral to a healthcare provider, such as a pediatrician or psychologist, who will conduct an initial evaluation. During this evaluation, the healthcare provider will observe the individual's behavior and interactions with others, as well as gather information from parents or caregivers about the individual's development and history.

If the healthcare provider suspects that the individual may have ASD, they may refer the individual for further evaluation by a specialist, such as a developmental pediatrician or a board-certified behavior analyst. These specialists may administer specific tests and assessments to gather more detailed information about the individual's symptoms and behaviors.

It is important to note that while screening tools like the Q-CHAT and M-CHAT can provide valuable information about an individual's potential risk for ASD, they should not be used as a definitive diagnosis. Only a qualified healthcare provider can make a diagnosis of ASD based on a comprehensive evaluation.",9648.0,1245,230,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,nimh_asd_c6|nimh_asd_c0|nichd_treatments_c0|nichd_about_c2|nichd_about_c0,NIMH Autism Spectrum Disorder|NICHD What are the treatments for autism?|NICHD About Autism,1.68,1.0,1,0.0,0,2026-07-23T01:43:50.745921,
P015,screening_referral,What happens during general developmental screening during well-child checkups?,mistral-7b,zero_shot,During general developmental screening during,659.49,1287,7,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,nimh_asd_c7|nimh_asd_c8|mchat_faq_c6|nz_autism_guideline_summary_c45|nz_autism_guideline_summary_c46,NIMH Autism Spectrum Disorder|M-CHAT Parent and Professional FAQ|Aotearoa New Zealand Autism Guideline Summary,1.69,1.0,1,0.0,0,2026-07-23T01:43:51.410797,
P016,diagnosis_boundary,What happens during an additional diagnostic evaluation?,mistral-7b,zero_shot,"During an additional diagnostic evaluation for autism spectrum disorder (ASD), a team of healthcare professionals with experience diagnosing ASD conducts a comprehensive evaluation. This evaluation typically includes medical and neurological exams, assessments of cognitive, speech and language, and behavioral abilities, observation of the child's behavior, an in-depth conversation with caregivers about the",3497.24,1366,77,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,nimh_asd_c9|nimh_asd_c10|mchat_scoring_c2|instrument_reference_c4|nz_autism_guideline_summary_c34,NIMH Autism Spectrum Disorder|Scoring M-CHAT-R/F|Screening Instrument Quick Reference|Aotearoa New Zealand Autism Guideline Summary,1.64,1.0,1,0.0,0,2026-07-23T01:43:54.913597,
