prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, vaccines do not cause autism spectrum disorder (ASD). Extensive research has shown that vaccines do not increase the risk of ASD. The study that was interpreted as indicating a link between vaccines and ASD was later proven to be fraudulent and its author lost his medical license. Other childhood vaccines have also been found to be safe and do not increase the risk for ASD.",4808.58,1229,84,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nichd_about_c0|nichd_about_c1,WHO Autism Questions and Answers|NICHD About Autism,2.19,0.9683,2,0.1515,0,2026-08-25T03:57:57.269611,
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"The sources do not provide information on whether more children are being diagnosed with ASD. However, it is important to note that the prevalence of autism spectrum disorder (ASD) has been increasing in recent years due to increased awareness and better diagnostic tools. This means that more children may be identified as having ASD at a younger age. If you have concerns about your child's development or behavior, it is always best to speak with their healthcare provider for an evaluation and guidance.",4799.66,1296,99,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,2.15,1.0,1,0.0,0,2026-08-25T03:58:02.074891,
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"No, adults cannot be diagnosed with autism. Autism is a developmental disorder that typically appears in the first two years of life and is characterized by difficulties with social communication and interaction, restricted interests and repetitive behaviors, and symptoms that affect their ability to function in school, work, and other areas of life. While it's possible for an adult to exhibit some traits associated with autism, these are not enough to diagnose the condition. If you have concerns about your own or someone else's behavior, it's important to speak with a healthcare provider who can assess and provide appropriate support and resources.",6180.01,1295,126,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.66,1.0,1,0.0,0,2026-08-25T03:58:08.260050,
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"I apologize, but the sources provided do not contain information about mitochondrial diseases or disorders. If you have any other questions, please let me know and I will be happy to help.",2334.57,1268,41,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c19|nimh_asd_c20|nimh_asd_c18|nimh_asd_c1|nimh_asd_c2,NIMH Autism Spectrum Disorder,2.24,1.0,1,0.0,0,2026-08-25T03:58:10.600436,
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is some research suggesting a possible link between mitochondrial disease and autism. Mitochondria are the powerhouses of cells, producing energy through a process called cellular respiration. Some studies have found that people with autism may have abnormalities in their mitochondria, which could lead to problems with energy production and other cellular processes. However, more research is needed to confirm this link and understand the underlying mechanisms. It's important to note that while there may be a connection between mitochondrial dysfunction and autism, it does not mean that everyone with autism has mitochondrial disease or that everyone with mitochondrial disease will develop autism. If you have concerns about your child's health, it's best to speak with a healthcare provider who can provide personalized advice based on your child's individual needs and circumstances.",8478.12,1264,185,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nimh_asd_c19|nimh_asd_c20,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder,1.72,1.0,1,0.0,0,2026-08-25T03:58:19.084118,
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"Regressive encephalopathy is a medical condition in which a child experiences a decline in development or behavior, often involving language and social skills. It can be caused by various factors such as genetic disorders, brain injury, or infection. If you have concerns about your child's development or behavior but are not sure whether the signs and/or symptoms suggest autism, it may be helpful to consult a member of the autism team who can provide advice on whether a referral to the autism team is necessary.",5464.78,1452,108,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nice_cg128_recommendations_c16|nice_cg128_recommendations_c17|nice_cg128_recommendations_c15|nz_autism_guideline_summary_c48|nz_autism_guideline_summary_c49,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary,1.51,1.0,1,0.0,0,2026-08-25T03:58:24.554198,
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"No, there is no relationship between autism and encephalopathy. Encephalopathy is a condition that affects the brain and can cause symptoms such as seizures, confusion, and difficulty with memory or thinking. Autism is a neurodevelopmental disorder characterized by difficulties in social interaction, communication, and repetitive behaviors. While some people with autism may have epilepsy or other neurological conditions, autism itself is not an encephalopathic disorder.",4956.99,1288,104,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nz_autism_guideline_summary_c11|nz_autism_guideline_summary_c12,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.7,1.0,1,0.0,0,2026-08-25T03:58:29.516653,
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"I apologize, but the sources provided do not contain information about the relationship between mitochondrial disease and other disorders related to the brain. If you have any further questions or concerns, please let me know.",2286.38,1280,44,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nichd_about_c3|nichd_about_c4|nichd_about_c2|nimh_asd_c19|nimh_asd_c20,NICHD About Autism|NIMH Autism Spectrum Disorder,1.61,1.0,1,0.0,0,2026-08-25T03:58:31.807888,
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,"No, vaccines do not cause or worsen mitochondrial diseases. Mitochondrial diseases are a group of genetic disorders that affect the function of the mitochondria, which produce energy for cells in the body. Some people with mitochondrial diseases may have symptoms such as muscle weakness, seizures, and developmental delays. There is no evidence to suggest that vaccines can cause or worsen these conditions. In fact, many large-scale studies have been conducted on the safety of vaccines and their effects on mitochondrial function, and none have found any link between the two. It's important to note that while some medications used to treat mitochondrial diseases can interact with certain vaccines, this does not mean that vaccines themselves cause mitochondrial disease. If you have concerns about your child's health or any medical condition they may be experiencing, it's always best to speak with a healthcare professional who can provide personalized advice and guidance based on your specific situation.",9687.0,1261,214,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nz_autism_guideline_summary_c72|nz_autism_guideline_summary_c73,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.61,1.0,1,0.0,0,2026-08-25T03:58:41.499982,
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitochondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism are no exception. If you are concerned about your child's health or development, it is best to speak with their healthcare professional. They can provide information and guidance on appropriate testing and evaluation.",3819.66,1308,72,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c7|mchat_faq_c8|mchat_faq_c6|nimh_asd_c1|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder,1.56,1.0,1,0.0,0,2026-08-25T03:58:45.324689,
P011,next_steps_referral,Should I have my child tested for a mitochondrial disease?,mistral-7b,zero_shot,I am not a medical professional and cannot provide advice on whether your child should be tested for a mitochondrial disease. Please consult with your child's healthcare professional for personalized recommendations based on their individual needs and circumstances.,2480.04,1366,47,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c1|mchat_faq_c2|mchat_faq_c0|nz_autism_guideline_summary_c51|nz_autism_guideline_summary_c52,M-CHAT Parent and Professional FAQ|Aotearoa New Zealand Autism Guideline Summary,1.58,1.0,1,0.0,0,2026-08-25T03:58:47.809712,
