prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,llama3-8b,zero_shot,"No, extensive research has shown that vaccines are not a cause of autism spectrum disorder (ASDs). In fact, numerous large-scale, high-quality studies conducted across various countries and involving significant population groups have consistently found no association between vaccination and the development of ASDs. 

The idea that vaccines might contribute to the risk of developing ASD originated from a discredited study that was later retracted due to its findings being deemed false and misleading. As a result, credible scientific evidence supports the notion that vaccinations themselves do not lead to ASDs.",4738.76,1081,108,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|nichd_about_c0|nimh_asd_c0|who_qa_c6|nichd_symptoms_c0,WHO Autism Questions and Answers|NICHD About Autism|NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?,1.82,1.0,1,0.0,0,2026-07-23T01:48:42.665832,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.855579674243927,0.1691542288557214
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,llama3-8b,zero_shot,"According to various studies and data, yes, there appears to be an increase in the number of children being diagnosed with Autism Spectrum Disorder (ASD). This trend is observed across many countries, including the United States, the UK, and Australia.

However, it's essential to note that this rise might be due to increased awareness and recognition of ASD symptoms by parents, educators, and healthcare professionals, as well as broader access to diagnostic services and screenings. Additionally, changes in diagnostic criteria and expanded definitions of ASD might also contribute to this apparent increase.

It's crucial to remember that while more children might be receiving diagnoses, this doesn't necessarily mean that more children actually have ASD. Rather, it suggests that more children are being identified and diagnosed earlier, which can lead to better outcomes and improved access to supportive services.

If you're concerned about your child's development, it's always best to consult with your pediatrician or a qualified healthcare professional for guidance and recommendations on how to proceed. They can assess your child's individual needs and determine the best course of action.",8884.55,1103,213,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nichd_early_intervention_c0|nimh_asd_c2|nichd_treatments_c1|nz_autism_guideline_summary_c20,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|NICHD What are the treatments for autism?|Aotearoa New Zealand Autism Guideline Summary,1.66,1.0,1,0.0,0,2026-07-23T01:48:51.556685,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8587775826454163,0.1946308724832215
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,llama3-8b,zero_shot,"Yes, adults can be diagnosed with Autism Spectrum Disorder (ASD). While symptoms typically become apparent in early childhood, ASD can also be diagnosed in adulthood. 

According to [Source: NIMH], while ASD is considered a developmental disorder, its symptoms can persist into adulthood. Adults with ASD might experience difficulties with social interactions, communication, and restrictive/repetitive behaviors, which can impact various aspects of their lives, including education, employment, and relationships.

It's essential to note that diagnosing ASD in adults requires careful consideration of an individual's history, behavior, and experiences. A thorough evaluation by a qualified healthcare professional, such as a psychologist or psychiatrist, is necessary to determine if an adult meets the criteria for an ASD diagnosis.

If you're concerned about your own or a loved one's potential ASD diagnosis, I strongly advise seeking guidance from a qualified professional. They will assess your situation and provide personalized advice based on your unique circumstances.",8223.02,1107,190,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nimh_asd_c0|nichd_early_intervention_c0|nz_autism_guideline_summary_c20|nichd_treatments_c0,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|Aotearoa New Zealand Autism Guideline Summary|NICHD What are the treatments for autism?,1.67,1.0,1,0.0,0,2026-07-23T01:48:59.786205,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8669488430023193,0.16541353383458646
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,llama3-8b,zero_shot,"Mitochondrial diseases or disorders refer to a group of conditions caused by dysfunction in the mitochondria, which are the energy-producing structures within cells. Mitochondria play a crucial role in generating energy for the body's various functions.

In simple terms, mitochondrial diseases occur when the mitochondria don't produce enough energy or produce it inefficiently, leading to a variety of health issues. This can affect various parts of the body, depending on the specific type of mitochondrial disease.

Some examples of mitochondrial diseases mentioned in your sources include:

* Epilepsy and epileptic encephaloathy
* Fragile X syndrome
* Tuberous sclerosis
* Muscular dystrophy
* Neurofibromatosis

These conditions can lead to a wide range of symptoms, such as muscle weakness, fatigue, seizures, developmental delays, and other complications.

It's essential to note that mitochondrial diseases can be challenging to diagnose due to their complex nature and varying symptoms. A healthcare professional would need to evaluate an individual's overall health and perform tests to determine if a mitochondrial disease might be present.

If you're concerned about potential mitochondrial issues, consult a doctor or a specialist for proper evaluation and guidance.",10205.84,1137,238,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c19|nimh_asd_c1|nichd_symptoms_c0|nichd_treatments_c0|nice_cg128_recommendations_c36,NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?|NICHD What are the treatments for autism?|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.73,1.0,1,0.0,0,2026-07-23T01:49:09.998606,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8594635128974915,0.22085889570552145
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,llama3-8b,zero_shot,"There isn't enough information provided from your sources regarding a direct relationship between mitochondrial disease and Autism Spectrum Disorder (ASD). 

However, according to [Source: NICHD What Causes Autism?] genetics plays a significant role in the development of ASD. While it doesn't specifically mention a connection between mitochondrial disease and ASD, it does discuss the complexity of genetic mutations and their potential impact on increasing susceptibility to autism.

If you're looking into this topic further, I would recommend consulting reputable resources such as the Centers for Disease Control and Protection's website or the National Institutes of Health for more accurate and up-to-date information. They offer reliable guidance and insights into the current understanding of ASD and its possible connections to various factors, including genetics.",6214.79,1093,146,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nimh_asd_c19|nz_autism_guideline_summary_c11|nimh_asd_c20|nichd_causes_c2,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder|Aotearoa New Zealand Autism Guideline Summary|NICHD What causes autism?,1.65,0.9917,1,0.0,0,2026-07-23T01:49:16.219649,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8400317430496216,0.16806722689075632
P006,general_health_knowledge,What is regressive encephalopathy?,llama3-8b,zero_shot,"I'm unable to find this term in your provided sources. However, I found that ""regressive encephalopathy"" might refer to a condition where a previously normal baby starts losing skills after a certain period, typically around 6-18 months old. It's essential to note that this term isn't explicitly mentioned in the given sources.

If you're concerned about your child's development, please consult a healthcare professional for guidance and support. They'll assess your child's specific situation and provide personalized recommendations based on their expertise.

In general, if you notice any significant changes in your child's behavior or development, it's best to discuss your concerns with a pediatrician or a specialist. They can evaluate your child's overall health and provide reassurance or further evaluation if needed.

Would you like me to clarify anything else regarding child development or screening processes?",7284.11,1182,172,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nice_cg128_recommendations_c16|nz_autism_guideline_summary_c48|nimh_asd_c0|nz_autism_guideline_summary_c47|who_qa_c0,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers,1.71,1.0,1,0.0,0,2026-07-23T01:49:23.510389,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.840239405632019,0.12546125461254612
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,llama3-8b,zero_shot,"According to the sources, yes, there appears to be a possible association between neonatal encephalopathy and epilepsy-related conditions, including infantile spasums, and an increased risk of autism. However, please note that this does not mean that one directly causes the other. The exact nature of this potential link requires further research.

If you're concerned about your child's development or behavior, especially if they've experienced neonatal encephalitis or another neurological issue, consult a healthcare professional for guidance. They'll assess your child's individual situation and determine the best course of action.

In general, it's essential to remember that many things can influence a child's development, and a comprehensive evaluation by a qualified expert will help identify any underlying issues and develop a plan tailored to their unique needs.

Would you like me to clarify anything else regarding this topic?",7264.61,1186,172,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nz_autism_guideline_summary_c11|nice_cg128_recommendations_c16|who_qa_c4|nice_cg128_recommendations_c31,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.69,1.0,1,0.0,0,2026-07-23T01:49:30.781352,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8370732069015503,0.06741573033707865
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,llama3-8b,zero_shot,"Mitochondrial disease refers to problems with the mitochondria, which are tiny structures within cells that produce energy for the body's various functions. Research suggests that mitochondrial dysfunction might contribute to the development of certain neurological and psychiatric conditions, including autism spectrum disorder (ASDs).

Some studies indicate that genetic mutations affecting the function of the mitochondria could potentially increase the risk of developing ASD. However, it's essential to note that:

* Mitochondrial disease itself is a distinct medical condition, characterized by its own set of symptoms and challenges.
* There isn't conclusive evidence linking mitochondrial disease directly to ASD.
* Many children with ASD do not have mitochondrial disease.
* Most cases of ASD cannot be attributed to a specific underlying cause, including mitochondrial issues.

The exact relationship between mitochondrial disease and ASD remains an area of ongoing research. More investigation is needed to fully understand this potential link.

If you're concerned about your child's development or suspect they might have ASD, consult a healthcare provider for guidance and support. They will assess your child's individual situation and provide personalized advice based on current knowledge and best practices.",9191.07,1178,220,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nichd_about_c3|nimh_asd_c19|who_qa_c0|nichd_causes_c0|nz_autism_guideline_summary_c14,NICHD About Autism|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What causes autism?|Aotearoa New Zealand Autism Guideline Summary,1.73,1.0,1,0.0,0,2026-07-23T01:49:39.979362,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8305671215057373,0.1316872427983539
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,llama3-8b,zero_shot,"Vaccines do not cause or worsen mitochondrial disorders. According to the World Health Organization's (WHO) Autism Questions and Answers:

""Mitochondrial myopathies are a group of rare inherited disorders caused by problems with the mitochondria, which are tiny structures within cells that produce energy.""

The WHO states that ""extensive research has shown that there is no evidence that vaccines cause mitochondrial disorders."" They further clarify that while some children with mitochondrial disorders may experience adverse reactions to vaccinations, this is due to their underlying disorder, not the vaccination itself.

It's essential to note that individuals with pre-existing mitochondrial disorders should consult their healthcare provider before receiving vaccinations to discuss potential risks and benefits. However, the WHO emphasizes that ""the vast majority of children with mitochondrial disorders can safely receive standard vaccinations.""

If you're concerned about your child's specific situation, please consult with your pediatrician or healthcare provider for personalized advice.",7728.51,1050,183,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|who_qa_c8|nz_autism_guideline_summary_c72|nimh_asd_c19|nichd_causes_c3,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.72,0.9932,1,0.0,0,2026-07-23T01:49:47.714389,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8502692580223083,0.17721518987341772
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,llama3-8b,zero_shot,"I'm happy to help clarify!

Routine testing for mitochondrial disease varies depending on individual circumstances and guidelines from pediatric organizations. However, it's generally recommended that children with certain risk factors or symptoms undergo genetic testing for mitochondrial disease.

Regarding children with autism, there isn't a routine recommendation for universal testing for mitochondrial disease specifically due to an autism diagnosis. 

However, since many individuals with autism also experience co-occurring conditions like intellectual disability, seizures, or muscle weakness, which can sometimes be associated with mitochondrial dysfunction, some experts suggest considering genetic testing for mitochondrial disease in these cases.

If you're concerned about your child's overall health or suspect they might have a mitochondrial issue, consult with your child's healthcare provider. They'll assess your child's specific situation and determine if further testing is necessary.

Keep in mind that while some children with autism might benefit from genetic testing for mitochondrial disease, it's essential to remember that:

* Mitochondrial disease is relatively rare compared to other causes of developmental delay or autism.
* Many children with autism don't have underlying mitochondrial disease.
* Genetic testing for mitochondrial disease involves complex procedures and requires careful consideration before proceeding.

Your child's healthcare provider will guide you through the decision-making process and recommend the best course of action based on your child's unique needs and circumstances.",11169.61,1285,260,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c7|nimh_asd_c1|nichd_early_intervention_c5|nichd_early_intervention_c4|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.66,0.9722,2,0.0457,0,2026-07-23T01:49:58.890729,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8606504797935486,0.14893617021276595
