prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, extensive research has shown that vaccinations do not cause autism spectrum disorder. Many large, high",1784.21,1227,22,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|nichd_about_c0|nimh_asd_c0|who_qa_c6|nichd_symptoms_c0,WHO Autism Questions and Answers|NICHD About Autism|NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?,1.83,1.0,1,0.0,0,2026-07-23T01:43:03.595925,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8496658802032471,0.064
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"No, the number of children being diagnosed with autism spectrum disorder (AS",970.37,1244,16,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nichd_early_intervention_c0|nimh_asd_c2|nichd_treatments_c1|nz_autism_guideline_summary_c20,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|NICHD What are the treatments for autism?|Aotearoa New Zealand Autism Guideline Summary,2.38,1.0,1,0.0,0,2026-07-23T01:43:04.572284,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8348890542984009,0.08130081300813008
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"No, adults cannot be diagnosed with autism spectrum disorder (ASC). ASC is typically diagnosed in childhood, usually before the age of five. While it is possible for individuals to exhibit traits associated with ASC throughout their lives, a formal diagnosis requires evidence of symptoms within the first two years of",2712.97,1267,60,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nimh_asd_c0|nichd_early_intervention_c0|nz_autism_guideline_summary_c20|nichd_treatments_c0,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|Aotearoa New Zealand Autism Guideline Summary|NICHD What are the treatments for autism?,1.71,1.0,1,0.0,0,2026-07-23T01:43:07.290847,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8722771406173706,0.175
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"I'm sorry, but I don't see any sources related to mitochondrial diseases. Can you please provide me with more context or clarify your question?",1811.52,1305,36,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c19|nimh_asd_c1|nichd_symptoms_c0|nichd_treatments_c0|nice_cg128_recommendations_c36,NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?|NICHD What are the treatments for autism?|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.59,1.0,1,0.0,0,2026-07-23T01:43:09.107575,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8092941045761108,0.06024096385542168
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is ongoing research into the potential link between mitochondrial dysfunction and autism. While some studies have suggested a possible association, more research is needed to establish a definitive connection. It's important to note that while mitochondrial dysfunctions can contribute to various health issues, including autism, it does not mean that autism is caused solely by mitochondrial problems. As with any health concern, it's crucial to consult with a healthcare professional for personalized advice and guidance.",4514.58,1217,105,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nimh_asd_c19|nz_autism_guideline_summary_c11|nimh_asd_c20|nichd_causes_c2,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder|Aotearoa New Zealand Autism Guideline Summary|NICHD What causes autism?,1.8,1.0,1,0.0,0,2026-07-23T01:43:13.627722,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8638654351234436,0.18181818181818182
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"I apologize, but the sources provided do not mention ""regressive enceph",1137.73,1361,19,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nice_cg128_recommendations_c16|nz_autism_guideline_summary_c48|nimh_asd_c0|nz_autism_guideline_summary_c47|who_qa_c0,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers,1.71,1.0,1,0.0,0,2026-07-23T01:43:14.771101,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8061963319778442,0.02985074626865672
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"Encephalopathy refers to inflammation or injury of the brain. There is some evidence to suggest that encephalitis, a type of encephalitis that affects the brain, may increase the risk of autism spectrum disorder (ASD), although this is still being studied. However, it is important to note that not all cases of encephalitic autism can be traced back to encephalitis. Additionally, many children with ASD do not have a known history of encephalites. Therefore, while there may be a connection between encephalitis and ASD, it is not a definitive diagnosis or explanation for every case of ASD.",6309.44,1384,150,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nz_autism_guideline_summary_c11|nice_cg128_recommendations_c16|who_qa_c4|nice_cg128_recommendations_c31,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.66,1.0,1,0.0,0,2026-07-23T01:43:21.086111,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8650534152984619,0.13953488372093023
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"There is limited information available regarding the relationship between mitochontrial disease and other disordersrelated to the brain. However, it is known that mitochondria play an important role in energy production within cells, including neurons in the brain. Dysfunction in mitochondrial function has been linked to various neurological and neurodevelopmental disorders, including autism spectrum disorder (ASC), epilepsy, Parkinson's disease, and Alzheimer's disease.

It is important to note that while mitochondrial dysfunction has been implicated in these disorders, it is not yet fully understood how mitochondrial dysfunctions contribute to the development and progression of these conditions. Further research is needed to better understand the relationship between mitochondonrial disease and other disorders of the brain.",7112.31,1342,169,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nichd_about_c3|nimh_asd_c19|who_qa_c0|nichd_causes_c0|nz_autism_guideline_summary_c14,NICHD About Autism|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What causes autism?|Aotearoa New Zealand Autism Guideline Summary,1.57,1.0,1,0.0,0,2026-07-23T01:43:28.203746,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8371722102165222,0.11904761904761904
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,"No, there is no evidence to suggest that vaccines cause or w",926.22,1191,15,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|who_qa_c8|nz_autism_guideline_summary_c72|nimh_asd_c19|nichd_causes_c3,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.67,1.0,1,0.0,0,2026-07-23T01:43:29.135236,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8596867322921753,0.12631578947368421
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitocondrial diseases unless there are specific indicators or symptoms. However, it's important to note that some research suggests a potential link between mitochondrial dysfunction and autism, although more studies are needed to confirm this connection. If you have concerns about your child's health, it's best to discuss these with your child's healthcare provider.",3990.55,1485,86,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c7|nimh_asd_c1|nichd_early_intervention_c5|nichd_early_intervention_c4|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.71,1.0,1,0.0,0,2026-07-23T01:43:33.131362,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8802645206451416,0.1896551724137931
