grade_id,prompt_id,category,model_id,condition,rag_enabled,source_run,bertscore_f1,rouge_l,degenerate,response,quality_score,hallucination_flag,diagnostic_overreach_flag,addresses_question_flag,note,screening_diagnosis_distinction_flag,professional_followup_flag,rag,run,truncated
G0001,P031,general_autism_knowledge,mistral-7b,zero_shot,1,phase1_mistral-7b_zero_shot_rag5_20260723_134537_with_metrics.csv,0.8642852306365967,0.2170542635658914,0,"According to the Centers for Disease Control and Prevention (CDC), the prevalence of autism spectrum disorder (ASD) is about 1 in every 31 children aged 8 years old, based on estimates from the CDC's Autisms and Developmental DisabilitiesMonitoring (ADDM) Network.",3,0,0,1,Prevalence 1 in 31 matches the CDC source exactly. Minor spelling corruption in the ADDM network name.,0,0,True,mistral-7b zero_shot,False
G0002,P042,screening_follow_up,llama3-8b,zero_shot,0,phase1_llama3-8b_zero_shot_20260723_133020_with_metrics.csv,0.8348228335380554,0.1257142857142857,0,"I'd be happy to help you understand your child's results!

To determine if your child needs to be rescreened, let's review the details of their previous screening. What type of screening was done (e.g., Q-CHAT-10, M-CHAT-R/F)? And approximately how old was your child at the time of the screening?

Also, do you have access to the specific results from the screening, including the total score and any subscores? This will give me more context to better assist you.",1,0,0,0,Asks the caregiver three clarifying questions and gives no information at all. The source answer (rescreen at the 2-year check-up if under 24 months; act on concerns at any age) is available without knowing the score.,0,0,False,llama3-8b zero_shot,False
G0003,P014,diagnosis_boundary,mistral-7b,few_shot,0,phase1_mistral-7b_few_shot_20260723_131919_with_metrics.csv,0.8688952922821045,0.1481481481481481,0,"Autism Spectrum Disorder (ASD) is typically diagnosed through a combination of observation, interview, and standardized testing. There are several different types of tests that may be used, including the Q-CHAT and M-CHAT, which are designed to screen for potential signs of ASD. However, these tests are not definitive diagnoses and should not be relied upon solely to determine whether a person has ASD. Instead, a comprehensive evaluation by a qualified professional, such as a developmentally trained pediatrician or psychologists, is necessary to make an accurate diagnosis.",3,0,0,1,"Accurate, and explicitly separates screening tools from diagnostic evaluation.",0,0,False,mistral-7b few_shot,False
G0004,P027,screening_item_clarification,llama3-8b,zero_shot,0,phase1_llama3-8b_zero_shot_20260723_133020_with_metrics.csv,0.8174339532852173,0.1379310344827586,0,"Social communication and social interaction challenges are common concerns associated with Autism Spectrum Disorder (ASD). Keep in mind that these traits alone do not confirm or rule out an ASD diagnosis. A comprehensive evaluation by a qualified professional is necessary for accurate assessment.

Some possible social communication and social interaction signs include:

**Social Communication Characteristics:**

* Difficulty understanding tone of voice, sarcasm, or implied meaning behind words
* Struggling to initiate or maintain conversations
* Trouble understanding facial expressions, body language, or eye contact
* Repeating words or phrases verbatim, rather than using them in context
* Using overly formal or stilted speech patterns
* Having trouble understanding nuances of language, like idioms or figurative language

**Social Interaction Challenges:**

* Difficulty making friends or initiating interactions with peers
* Preferring to play alone instead of with others
* Struggling to understand unwritten social rules or unspoken expectations
* Feeling anxious or uncomfortable in group settings
* Displaying repetitive behaviors during social interactions, like hand flapping or rocking

Please remember, every child develops at their own pace, and some might exhibit these traits due to various reasons unrelated to ASD. These characteristics don't necessarily mean your child will receive an ASD diagnosis. It's essential to consult a qualified professional for a thorough evaluation and guidance on how to support your child's development.

If you're concerned about your child's social communication or social interaction skills, I strongly advise seeking advice from a pediatrician or a developmental specialist. They'll be able to assess your child's unique situation and provide personalized recommendations tailored to their needs.",2,0,0,1,"Traits listed are adult and older-child oriented (sarcasm, idioms, formal speech) where the source gives early-childhood milestones. Not false, but misaligned with a toddler screening context. Hand flapping is listed under social interaction rather than restricted behaviours.",0,1,False,llama3-8b zero_shot,False
G0005,P037,general_autism_knowledge,llama3-8b,zero_shot,0,phase1_llama3-8b_zero_shot_20260723_133020_with_metrics.csv,0.8569545745849609,0.1274509803921568,0,"Not all individuals on the autism spectrum have an intellectual disability (also known as cognitive impairment). In fact, many people with autism have average or above-average intelligence.

Autism, also known as Autism Spectrum Disorder (ASD), affects how people communicate, interact with others, and respond to sensory experiences. It's a neurological difference that impacts social skills, behavior, and communication styles.

Intellectual disability refers to significant limitations in learning, reasoning, problem-solving, and adapting to new situations. This is separate from autism, although some people with autism might experience co-occurring intellectual disabilities.

Research suggests that about 30% of children diagnosed with ASD also have an intellectual disability. However, this doesn't mean they're less capable or intelligent; it just indicates challenges in certain areas like learning, memory, or processing information.

Many successful professionals, artists, scientists, and innovators identify as being on the autism spectrum, showcasing that having autism does not limit one's potential or abilities. Intelligence and autism exist independently, and there's considerable diversity within both categories.",1,1,0,1,States 'about 30% of children diagnosed with ASD also have an intellectual disability'. The WHO source cited for this prompt says around 50%.,0,0,False,llama3-8b zero_shot,False
G0006,P007,general_health_knowledge,mistral-7b,zero_shot,1,phase1_mistral-7b_zero_shot_rag5_20260723_134537_with_metrics.csv,0.8650534152984619,0.1395348837209302,0,"Encephalopathy refers to inflammation or injury of the brain. There is some evidence to suggest that encephalitis, a type of encephalitis that affects the brain, may increase the risk of autism spectrum disorder (ASD), although this is still being studied. However, it is important to note that not all cases of encephalitic autism can be traced back to encephalitis. Additionally, many children with ASD do not have a known history of encephalites. Therefore, while there may be a connection between encephalitis and ASD, it is not a definitive diagnosis or explanation for every case of ASD.",1,1,0,1,"Conflates encephalopathy with encephalitis throughout ('encephalitis, a type of encephalitis'), and claims evidence that encephalitis may increase ASD risk. The source says most children with ASD have not had an encephalopathy.",0,0,True,mistral-7b zero_shot,False
G0007,P048,screening_limitations,llama3-8b,zero_shot,0,phase1_llama3-8b_zero_shot_20260723_133020_with_metrics.csv,0.8546640276908875,0.131578947368421,0,"The M-CHAT (Modified Checklist for Autism in Toddlers) primarily screens for signs related to autism spectrum disorder (ASD). It's designed specifically to identify potential indicators of ASD in young children between 16 and 30 months old. 

While it does ask about some general development milestones like social interaction and communication skills, its primary focus is on detecting symptoms associated with autism. However, it doesn't comprehensively assess overall developmental abilities or rule out other conditions entirely.

If your child receives a high-risk score from the M-CHAT, it's essential to remember that this indicates they might need further evaluation by a healthcare professional. This isn't a definitive diagnosis, just an indication that more investigation is needed.

A comprehensive evaluation by a pediatrician or a specialist would consider multiple aspects of your child's development, including cognitive, motor, emotional, and social growth. They'll use various assessments and observations to determine if there are any underlying issues beyond those related to autism.

It's also worth noting that many children who receive a high-risk score don't have autism; they might be experiencing delays or difficulties due to other factors, which could include:

* Developmental delay
* Language disorders
* Sensory processing issues
* Other neurological or genetic conditions

In case of a high-risk score, I strongly advise seeking a professional evaluation to get a complete picture of your child's development and address any concerns you may have.",3,0,0,1,Correct on scope and on the 16-30 month range; clear that a high-risk score is not a diagnosis.,0,1,False,llama3-8b zero_shot,False
G0008,P052,screening_tool_use,llama3-8b,few_shot,0,phase1_llama3-8b_few_shot_20260723_134115_with_metrics.csv,0.84405916929245,0.1354581673306773,0,"The M-CHAT (Modified Checklist for Autism in Toddlers) and its revised version, the M-CHAT-R, were originally designed to be followed by a comprehensive evaluation after completion. 

While some versions of these checklists allow for administration without the Follow-Up, this approach isn't generally recommended. The Follow-Up section assesses social interaction, play, and communication skills more directly, providing a clearer picture of a child's abilities and potential areas of concern.

Administering just the original checklist might miss critical aspects of a child's development, potentially leading to incomplete information. It's best to use both parts together for an accurate understanding of a child's strengths and challenges.

If you're considering using either the M-CHAT or M-CHAT-R, please consult the relevant guidelines and recommendations provided by the test developers or local healthcare authorities. They will guide you through the process and ensure you get the most accurate results.",1,1,0,1,"Says omitting the Follow-Up 'might miss critical aspects' and describes the Follow-Up as assessing social interaction, play and communication. The source says sensitivity is not lost without it; the actual cost is many more false positives.",0,0,False,llama3-8b few_shot,False
G0009,P030,treatment_support,llama3-8b,zero_shot,0,phase1_llama3-8b_zero_shot_20260723_133020_with_metrics.csv,0.855914831161499,0.1105527638190954,0,"Behavioral approaches for Autism Spectrum Disorder (ASD) focus on helping individuals develop skills and behaviors through positive reinforcement, repetition, and consistency. These methods aim to support people with ASD in achieving independence, social interaction, communication, and daily living skills.

Some common behavioral approaches include:

1. **Applied Behavior Analysis (ABA)**: This method involves breaking down complex behaviors into smaller parts and teaching new skills by reinforcing desired actions. ABA therapists work closely with families to create personalized plans tailored to each individual's needs.
2. **Positive Behavioral Supports (PBS)**: PBS focuses on creating supportive environments where individuals feel safe and valued. It emphasizes understanding and addressing underlying causes of challenging behaviors rather than just suppressing symptoms.
3. **Discrete Trial Training (DTT)**: DTT uses a structured approach to teach specific skills like communication, problem-solving, and self-care tasks. Each skill is broken down into small steps, and rewards are given for correct responses.
4. **Pivotal Response Treatment (PRT)**: PRT aims to improve communication, social interactions, and adaptive behavior by focusing on pivotal areas like motivation, attention, and responding to others' cues.
5. **Early Start Denver Model**: This approach combines play-based therapy with evidence-based practices from ABA and PRT. It helps young children develop essential life skills while fostering strong relationships between parents and their little ones.

These behavioral approaches often involve working one-on-one with trained professionals who use data-driven strategies to tailor interventions to meet an individual's unique needs. While these methods have shown promise in supporting individuals with ASD, it's essential to remember that every person is different, and what works best will depend on the individual's circumstances and preferences.

If you're considering seeking behavioral services for your child, I strongly recommend consulting with a qualified healthcare provider or a licensed therapist specializing in ASD. They'll be able to assess your child's needs and recommend the most effective approach based on their unique situation.",3,0,0,1,"ABA, PBS, DTT, PRT and ESDM all described accurately and consistently with the CDC source.",0,0,False,llama3-8b zero_shot,False
G0010,P035,general_autism_knowledge,mistral-7b,few_shot,1,phase1_mistral-7b_few_shot_rag5_20260723_134829_with_metrics.csv,0.8476453423500061,0.0994475138121546,0,"Autism is a neurological disorder that affects how people communicate, interact socially, learn, and behave, according to the National Institute of Mental Health (NIMH). It is typically diagnosed in the first two years",1,0,0,1,"Truncated mid-sentence. Revised on review: the fragment 'typically diagnosed in the first two years' was initially flagged as false, but the sentence is cut off and may have continued. An incomplete sentence is a generation failure, not a false claim.",0,0,True,mistral-7b few_shot,True
