prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, there is currently no scientific evidence to support the idea that vaccines cause ASD. This misconception originated from a fraudulent research by British ex-doctor Andrew Wakefield, which was later proven to have been manipulated. Since then, numerous studies have been conducted and found no link between vaccinations and ASD. It's important to remember that vaccines are safe and effective in preventing many serious diseases, and they do not cause autism.",4392.77,287,98,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:14.468031,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8558319211006165,0.16483516483516483
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"Yes, there has been an increase in the number of children being diagnosed with Autism Spectrum Disorder (ASD) over the past few decades. This could be due to increased awareness about the condition, better diagnostic tools, and changes in diagnostic criteria. However, it's important to note that while the prevalence of ASD has increased, the actual incidence rate remains relatively low, around 1 in 54 children.",3343.88,284,90,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:17.813384,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8675360083580017,0.16853932584269662
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"Yes, adults can be diagnosed with Autism Spectrum Disorder (ASD). However, it's important to note that the diagnosis process for adults is typically more complex than for children, as they may have developed coping mechanisms and learned to mask their symptoms over time. Adults who suspect they may have ASD should consult with a healthcare professional, preferably one with experience in neurodevelopmental disorders, for an evaluation.",3281.37,283,89,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:21.096276,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8811943531036377,0.2033898305084746
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"Mitochondria are small organelles found inside cells throughout the body. They produce energy for the cell by converting nutrients into ATP (adenosine triphosphate). Mitochondrial diseases occur when there is a problem with the function of these organelles, which can lead to a variety of symptoms such as muscle weakness, seizures, developmental delays, and cognitive impairment. These diseases can be caused by genetic mutations, environmental factors, or both. There are many different types of mitochondrial diseases, and they can affect people of all ages. Treatment options vary depending on the specific type and severity of the disease, and may include medications, supplements, dietary changes, and other therapies.",5701.74,285,158,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:26.799561,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8776025176048279,0.2520325203252033
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is some evidence suggesting a possible link between mitochondrial dysfunction and autism. However, it's important to note that this is still an area of ongoing research and more studies are needed to fully understand the potential connection. It's also crucial to remember that while mitochondrial dysfunctions can contribute to various health conditions, including autism, they do not necessarily cause it. A proper diagnosis of autism requires a comprehensive evaluation by a team of healthcare professionals, including psychologists, neurologists, and geneticists.",4042.59,289,111,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:30.843810,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8625580072402954,0.13541666666666669
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"Regressive encephilitis is a rare but serious neurological disorder that affects the brain and nervous system. It typically occurs in children under the age of 5 and is characterized by a sudden onset of symptoms such as seizures, loss of speech, vision problems, and difficulty walking or moving. The exact cause of regressive ence",2760.73,287,74,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:33.606083,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8576814532279968,0.1581920903954802
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"There is some research suggesting a possible link between autism and certain types of brain damage or dysfunction known as encephalopathies. However, it's important to note that this is an area of ongoing study, and more research is needed to fully understand the potential connection. It's also worth noting that while some children with autism may have encephalopathic conditions, not all do, and many children with encephalopathie do not develop autism.",3755.3,290,102,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:37.362840,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8720281720161438,0.18867924528301885
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"There is some evidence to suggest that mitochondrial disease may be linked to certain neurological and psychiatric conditions, including autism spectrum disorder (ASD). However, it's important to note that this is still an area of ongoing research, and more studies are needed to fully understand the relationship between mitochonria and these conditions.

Mitochondria are small organelles found within cells throughout the body that produce energy through a process called cellular respiration. Dysfunction in mitochondrial function has been implicated in various diseases, including ASD, Parkinson's disease, Alzheimer's disease, and depression.

Research suggests that mitochondrial dysfunction may contribute to the development of ASD by affecting the way neurons communicate and interact with each other. For example, mitochondrial dysfunctions have been associated with changes in neurotransmitter levels, which play a crucial role in communication between neurons.

However, it's important",7824.48,296,214,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:45.189036,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8312833905220032,0.12371134020618554
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,There is currently no evidence to support the idea that vaccines cause or w,676.22,289,16,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:09:45.866669,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8658092021942139,0.12371134020618557
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitocondrial diseases unless there are specific symptoms or signs that suggest it. Children with autism may be screened for mitochondrial disease if they have certain symptoms or signs associated with it, such as muscle weakness, seizures, or developmental delays. However, a diagnosis of mitochondrial disease requires further testing by a specialist. It's important to note that while some children with autism may have mitochondrial disease, many do not.",3898.52,295,107,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,0.9861,1,0.0,0,2026-07-23T01:09:49.766615,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8935437202453613,0.265625
