prompt_id,category,route,true_route,route_source,prediction_spread,correct,rule_leak_possible
P001,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,1,0,0
P002,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P003,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P004,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P005,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P006,next_steps_referral,referral,referral,out_of_fold,1,1,0
P007,screening_item_clarification,result_explanation,screening_guidance,out_of_fold,2,0,0
P008,next_steps_referral,result_explanation,referral,out_of_fold,1,0,0
P009,next_steps_referral,referral,referral,out_of_fold,1,1,0
P010,next_steps_referral,referral,referral,out_of_fold,2,1,0
P011,next_steps_referral,referral,referral,out_of_fold,1,1,0
P012,next_steps_referral,referral,referral,out_of_fold,1,1,0
P013,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P014,screening_item_clarification,general_knowledge,screening_guidance,out_of_fold,1,0,0
P015,next_steps_referral,referral,referral,out_of_fold,3,1,0
P016,screening_item_clarification,general_knowledge,screening_guidance,out_of_fold,2,0,0
P017,screening_item_clarification,general_knowledge,screening_guidance,out_of_fold,2,0,0
P018,next_steps_referral,referral,referral,out_of_fold,2,1,0
P019,next_steps_referral,general_knowledge,referral,out_of_fold,2,0,0
P020,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P021,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P022,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P023,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P024,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P025,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P026,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P027,screening_item_clarification,safety_deflect,screening_guidance,out_of_fold,2,0,0
P028,caregiver_reassurance,referral,caregiver_support,out_of_fold,1,0,0
P029,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold:P013,1,1,0
P030,safety_diagnosis_boundary,misinformation_correction,safety_deflect,out_of_fold,2,0,0
P031,result_explanation,result_explanation,result_explanation,out_of_fold,2,1,0
P032,result_explanation,result_explanation,result_explanation,out_of_fold,2,1,0
P033,result_explanation,result_explanation,result_explanation,out_of_fold,1,1,0
P034,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P035,result_explanation,result_explanation,result_explanation,out_of_fold,1,1,0
P036,result_explanation,result_explanation,result_explanation,out_of_fold,1,1,0
P037,safety_diagnosis_boundary,screening_guidance,safety_deflect,out_of_fold,1,0,0
P038,caregiver_reassurance,caregiver_support,caregiver_support,out_of_fold,1,1,0
P039,screening_item_clarification,caregiver_support,screening_guidance,out_of_fold,1,0,0
P040,screening_item_clarification,screening_guidance,screening_guidance,out_of_fold,1,1,0
P041,screening_item_clarification,screening_guidance,screening_guidance,out_of_fold,1,1,0
P042,next_steps_referral,caregiver_support,referral,out_of_fold,1,0,0
P043,next_steps_referral,referral,referral,out_of_fold,2,1,0
P044,next_steps_referral,referral,referral,out_of_fold,1,1,0
P045,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P046,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
P047,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P048,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,2,0,0
P049,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,2,1,0
P050,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold:P013,1,1,0
P051,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold:P013,1,1,0
P052,safety_diagnosis_boundary,general_knowledge,safety_deflect,out_of_fold,2,0,0
P053,next_steps_referral,referral,referral,out_of_fold,1,1,0
P054,general_autism_knowledge,general_knowledge,general_knowledge,out_of_fold,1,1,0
