prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,llama3-8b,few_shot,"No, extensive research has shown that vaccines are not a cause of autism spectrum disorder (ASDs). Multiple large-scale, high-quality studies across various countries and populations have consistently found no link between vaccinations and the development of ASDs. In fact, the original study suggesting a connection between the measles, mumps, and rubella (MMR) vaccine and autism was retracted due to its findings being deemed false and fraudulent. Additionally, evidence suggests that other childhood vaccines do also not increase the risk of developing ASDs.",4782.64,1552,105,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|nichd_about_c0|nimh_asd_c0|who_qa_c6|nichd_symptoms_c0,WHO Autism Questions and Answers|NICHD About Autism|NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?,1.84,1.0,1,0.0,0,2026-07-23T01:56:21.479911,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8538993000984192,0.1761658031088083
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,llama3-8b,few_shot,"There isn't enough information provided to determine if more children are being diagnosed with ASD. While the sources mention that research suggests early diagnosis and interventions are beneficial, they don't specifically address the trend of increased diagnoses. For accurate information on changes in ASD diagnosis rates, please consult reputable sources like the Centers for Disease Control and Prevention (CDC) or the World Health Organization (WHO).",3655.09,1574,76,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nichd_early_intervention_c0|nimh_asd_c2|nichd_treatments_c1|nz_autism_guideline_summary_c20,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|NICHD What are the treatments for autism?|Aotearoa New Zealand Autism Guideline Summary,1.72,1.0,1,0.0,0,2026-07-23T01:56:25.142815,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.859540581703186,0.14606741573033707
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,llama3-8b,few_shot,"Yes, individuals of all ages, including adults, can be diagnosed with Autism Spectrum Disorder (ASD). While symptoms typically become apparent in early childhood, some people may not receive an official diagnosis until adulthood. 

Early signs of autism can sometimes go unnoticed or misinterpreted, especially in those with average to above-average intelligence. Adults may also experience difficulties with social interactions, communication, and repetitive behaviors, making it challenging to recognize these traits earlier in life.

The Diagnostic and Statistical Manual of the American Psychiatric Association (DSM-5), a widely recognized reference guide for diagnosing mental health conditions, includes criteria for diagnosing ASD across various age groups, including adults.

If you're concerned about yourself or someone else being on the autism spectrum, consult a healthcare professional for guidance and support.",7219.92,1578,158,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c1|nimh_asd_c0|nichd_early_intervention_c0|nz_autism_guideline_summary_c20|nichd_treatments_c0,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism|Aotearoa New Zealand Autism Guideline Summary|NICHD What are the treatments for autism?,1.71,1.0,1,0.0,0,2026-07-23T01:56:32.370775,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8622236847877502,0.17573221757322177
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,llama3-8b,few_shot,"I'm unable to find this term within the provided sources. Mitochondrial diseases or disorders are actually a topic outside of the given resources. 

If you're looking for accurate information on this subject, I'd recommend consulting reputable sources like the United Mitochondrial Action website or the National Institutes of Health (NIH).

Would you like to discuss something else related to the provided sources or ask about a specific aspect of autism screening instead?",4044.48,1608,88,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nimh_asd_c19|nimh_asd_c1|nichd_symptoms_c0|nichd_treatments_c0|nice_cg128_recommendations_c36,NIMH Autism Spectrum Disorder|NICHD What are the symptoms of autism?|NICHD What are the treatments for autism?|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.86,1.0,1,0.0,0,2026-07-23T01:56:36.423945,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8160966038703918,0.12093023255813953
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,llama3-8b,few_shot,"There isn't enough information provided in the sources given to determine a direct relationship between mitochondrial disease and Autism Spectrum Disorder (ASD). While mitochondrial dysfunction has been studied in relation to various neurological conditions, the sources don't specifically address this connection.

If you're looking for accurate and comprehensive information on this topic, I recommend consulting reputable resources such as the National Institutes of Health (NIH) or peer-reviewed scientific journals. They may offer more detailed insights into the potential links between mitochondrial disease and ASD. 

In general, while mitochondrial function plays a crucial role in energy production within cells, its direct impact on the development of ASD remains unclear. Research suggests that multiple genetic and environmental factors contribute to the complexity of ASD, making it challenging to pinpoint a single cause.

To clarify, a screening test result doesn't confirm or rule out a diagnosis of ASD. If you're concerned about your child's development, consult with your healthcare provider for personalized guidance and recommendations.",8358.89,1564,191,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nimh_asd_c19|nz_autism_guideline_summary_c11|nimh_asd_c20|nichd_causes_c2,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder|Aotearoa New Zealand Autism Guideline Summary|NICHD What causes autism?,1.62,0.9937,1,0.0,0,2026-07-23T01:56:44.790393,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8453887701034546,0.1510791366906475
P006,general_health_knowledge,What is regressive encephalopathy?,llama3-8b,few_shot,"I'm unable to find this term in the provided sources. However, based on general knowledge, ""regressive encephalopathy"" refers to a condition where a previously normal infant begins to show significant cognitive and physical deterioration, typically after a period of normal development. It's essential to note that this term isn't explicitly mentioned in the given sources, and more specific information about this condition would come from additional resources.

If you're looking into potential causes of regression in infants, please consult reputable healthcare resources or professionals for accurate guidance.",4837.52,1653,107,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nice_cg128_recommendations_c16|nz_autism_guideline_summary_c48|nimh_asd_c0|nz_autism_guideline_summary_c47|who_qa_c0,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers,1.74,1.0,1,0.0,0,2026-07-23T01:56:49.636191,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8459265232086182,0.10280373831775702
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,llama3-8b,few_shot,"According to the NICE guidelines, there appears to be a connection mentioned between neonatal encephalopathy and epilepsy-related conditions, including infantile spasums, and a potential association with autism. However, this is not a direct causal relationship, and more research is needed to fully understand the interaction between these conditions.

It's essential to note that a screening score or a mention of one of these conditions doesn't confirm or rule out autism. If you're concerned about your child's development, it's best to consult with your child's healthcare provider for personalized guidance and further evaluation.",5386.42,1657,117,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c6|nz_autism_guideline_summary_c11|nice_cg128_recommendations_c16|who_qa_c4|nice_cg128_recommendations_c31,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NICE CG128 Recognition Referral and Diagnosis Recommendations,1.73,1.0,1,0.0,0,2026-07-23T01:56:55.030561,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8410393595695496,0.09090909090909091
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,llama3-8b,few_shot,"Mitochondrial disease refers to a group of disorders caused by dysfunctional mitochondria, the energy-producing structures within cells. Mitochondrial dysfunction can lead to various neurological and systemic problems, including issues affecting the brain.

Research suggests that mitochondrial disease may contribute to an increased risk of neurodevelopmental disorders, including autism spectrum disorder (ASDs) and attention deficit hyperactivity disorder (ADHD).

Some studies indicate that certain genetic mutations associated with mitochondrial disease may increase the likelihood of developing ASD. However, it's essential to note that this connection is still being researched, and more investigation is necessary to fully understand the relationship between mitochondrial disease, ASD, and other neurodevelopmental disorders.

It's also worth mentioning that while there may be a link between mitochondrial disease and ASD, a diagnosis of ASD is made based on behavioral and developmental criteria, not solely on the presence of mitochondrial disease. A comprehensive evaluation by a qualified healthcare professional is required to determine the underlying causes of developmental delays or concerns.

If you're concerned about your child's development or suspect they might have ASD, consult with your pediatrician or primary care physician, who will guide you through the next steps, possibly involving further testing or referrals to specialists.",10414.28,1649,240,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,nichd_about_c3|nimh_asd_c19|who_qa_c0|nichd_causes_c0|nz_autism_guideline_summary_c14,NICHD About Autism|NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What causes autism?|Aotearoa New Zealand Autism Guideline Summary,1.74,1.0,1,0.0,0,2026-07-23T01:57:05.453645,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8310807943344116,0.13229571984435798
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,llama3-8b,few_shot,"Vaccines do not cause or worsen mitochondrial disorders. Mitochondrial disorders occur due to problems within the mitochondria, the energy-producing structures inside cells. While there isn't enough evidence to confirm that vaccines directly trigger mitochondrial disorders, some individuals with pre-existing mitochondrial dysfunction may experience adverse reactions after vaccination.

The US Centers for Disease Control and Protection (CDC) states that while rare cases of serious illness associated with vaccinations have been reported, ""there is no conclusive evidence that vaccines themselves cause mitochondrial disease."" 

If you're concerned about your child's reaction to a specific vaccine, consult your healthcare provider. They will assess your child's individual situation and provide guidance based on current scientific understanding and recommendations.",6139.7,1521,140,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,who_qa_c7|who_qa_c8|nz_autism_guideline_summary_c72|nimh_asd_c19|nichd_causes_c3,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary|NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.71,1.0,1,0.0,0,2026-07-23T01:57:11.601406,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8628114461898804,0.16831683168316833
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,llama3-8b,few_shot,"I'm happy to help clarify!

Routine testing for mitochondrial disease varies depending on individual circumstances and guidelines. Mitochondrial disease is a group of conditions caused by problems with the mitochondria, the energy-producing structures within cells. While there isn't a universal recommendation for routine testing in all children, certain groups are considered at higher risk and may undergo genetic testing.

Children with autism spectrum disorder (ASD) are not automatically screened for mitochondrial disease as part of standard practice. However, since some individuals with ASD also have mitochondrial dysfunction, it's essential to consider this possibility in cases where there are additional red flags or concerning features.

If you're concerned about your child's development or overall health, consult with your pediatrician or primary care physician. They'll assess your child's specific situation and determine if further investigation into potential underlying causes, including mitochondrial disease, is necessary.

Keep in mind that while some children with ASD may have mitochondrial issues, many do not. It's crucial to approach each case individually and focus on comprehensive evaluations and assessments tailored to the child's unique needs.

Would you like to discuss further or explore resources related to mitochondrial disease or ASD?",10162.36,1756,230,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,mchat_faq_c7|nimh_asd_c1|nichd_early_intervention_c5|nichd_early_intervention_c4|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.73,1.0,1,0.0,0,2026-07-23T01:57:21.772264,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8619586229324341,0.12549019607843137
