prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,bertscore_scorer,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,few_shot,"No, extensive research has shown that vaccines do not cause autism spectrum disorder (ASD). Many large, high-quality studies conducted in different countries and involving large populations have all reached the same conclusion. The study that was interpreted as indicating any such link was later proven to be wrong and fraudulent. Evidence also shows that other childhood vaccines do not increase the risk of ASD.",4160.76,1759,81,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nichd_about_c0|nichd_about_c1,WHO Autism Questions and Answers|NICHD About Autism,1.71,1.0,1,0.0,0,2026-08-25T04:03:21.925250,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8537005186080933,roberta-large/bert-score-0.3.12,0.14942528735632185
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,few_shot,"I am not aware of any information on whether more children are being diagnosed with ASD. However, it is important to note that the prevalence of autism spectrum disorder (ASD) is estimated to be around 1 in 44 people, which means that approximately 1 out of every 44 children will have ASD. This number may vary depending on factors such as age, gender, ethnicity, and socioeconomic status. It's also worth noting that while the prevalence of ASD has been increasing over time, this is likely due to increased awareness and better diagnostic tools rather than a true increase in the incidence of the condition.",6709.48,1826,137,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.57,1.0,1,0.0,0,2026-08-25T04:03:28.641217,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8672198057174683,roberta-large/bert-score-0.3.12,0.2037037037037037
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,few_shot,"Yes, adults can be diagnosed with autism spectrum disorder (ASD). However, the diagnosis of ASD in adults is typically more complex and requires a thorough evaluation by a qualified professional. The American Academy of Pediatrics recommends that all children receive screening for autism, but there are no specific guidelines for screening adults. If you or someone you know is concerned about their own or another adult's potential autism, it is important to speak with a healthcare provider who can assess the individual's symptoms and provide appropriate referrals if necessary.",6071.23,1825,113,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.61,1.0,1,0.0,0,2026-08-25T04:03:34.719106,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8774047493934631,roberta-large/bert-score-0.3.12,0.18905472636815918
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,few_shot,"I am not able to provide information about mitochondrial diseases or disorders. My role is to help caregivers understand autism screening tools such as the Q-CHAT-10 and M-CHAT-R/F, and to explain screening results in plain language suitable for a non-specialist parent or caregiver. If you have any questions about mitochondrial disease, it would be best to speak with your child's doctor or GP.",5180.77,1798,98,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c19|nimh_asd_c20|nimh_asd_c18|nimh_asd_c1|nimh_asd_c2,NIMH Autism Spectrum Disorder,1.68,1.0,1,0.0,0,2026-08-25T04:03:39.906927,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8183665871620178,roberta-large/bert-score-0.3.12,0.09523809523809523
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,few_shot,"There is some research suggesting a possible link between mitochondrial disease and autism. Mitochondria are the powerhouses of cells, producing energy through a process called cellular respiration. Some studies have found that people with autism may have mitochondrial dysfunction, which could be contributing to their symptoms. However, more research is needed to confirm this link and understand the underlying mechanisms. It's important to note that while there may be a connection between mitochondrial function and autism, it does not mean that all people with autism have mitochondrial disease or that everyone with mitochondrial disease will develop autism.",6719.66,1794,138,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nimh_asd_c19|nimh_asd_c20,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder,1.6,1.0,1,0.0,0,2026-08-25T04:03:46.633015,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8718546628952026,roberta-large/bert-score-0.3.12,0.24154589371980678
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,few_shot,"Regressive encephalopathy is a term used to describe a condition in which a child's development regresses, or goes backwards, after reaching certain milestones. This can include loss of language skills, social and emotional regression, and changes in behavior. It is important for parents and caregivers to be aware of this condition as it may require medical attention and early intervention.",4316.2,1982,84,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nice_cg128_recommendations_c16|nice_cg128_recommendations_c17|nice_cg128_recommendations_c15|nz_autism_guideline_summary_c48|nz_autism_guideline_summary_c49,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary,1.52,1.0,1,0.0,0,2026-08-25T04:03:50.955695,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8740230202674866,roberta-large/bert-score-0.3.12,0.1739130434782609
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,few_shot,"No, there is no relationship between autism and encephalopathy. Encephalopathy refers to a condition in which the brain tissue becomes damaged or inflamed, while autism is a neurodevelopmental disorder characterized by difficulties with social interaction, communication, and repetitive behaviors. While some people with autism may have symptoms that resemble those of encephalitis, such as fever and seizures, these are not specific to autism and can also be seen in other conditions. It's important to note that autism is not caused by bad parenting or vaccines, and it is not linked to diet or infection.",6863.18,1818,136,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nz_autism_guideline_summary_c11|nz_autism_guideline_summary_c12,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.59,1.0,1,0.0,0,2026-08-25T04:03:57.825225,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8629744648933411,roberta-large/bert-score-0.3.12,0.125
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,few_shot,"I am not able to provide information about the relationship between mitochondrial disease and other disorders related to the brain. My role is to help caregivers understand autism screening tools such as the Q-CHAT-10 and M-CHAT-R/F, and to explain screening results in plain language suitable for a non-specialist parent or caregiver. If you have any questions about mitochondrial disease or other neurological conditions, it would be best to speak with your child's doctor or a specialist in that field.",5739.03,1810,116,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nichd_about_c3|nichd_about_c4|nichd_about_c2|nimh_asd_c19|nimh_asd_c20,NICHD About Autism|NIMH Autism Spectrum Disorder,1.57,1.0,1,0.0,0,2026-08-25T04:04:03.570589,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8314684629440308,roberta-large/bert-score-0.3.12,0.14285714285714285
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,few_shot,"No, vaccines do not cause or worsen mitochondrial diseases. Mitochondrial disorders are a group of genetic conditions that affect the function of the mitochondria, which produce energy for cells in the body. Some people with mitochondrial disorders may have symptoms such as muscle weakness, seizures, and developmental delays. There is no evidence to suggest that vaccines can cause or worsen these conditions. In fact, some studies have found that vaccination may actually improve outcomes for children with mitochondrial diseases by reducing their risk of certain complications. It's important to note that while vaccines are generally safe and effective, they should be administered under the guidance of a healthcare professional, who will take into account any individual circumstances or concerns.",8238.23,1791,164,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nz_autism_guideline_summary_c72|nz_autism_guideline_summary_c73,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.58,1.0,1,0.0,0,2026-08-25T04:04:11.815291,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.866675853729248,roberta-large/bert-score-0.3.12,0.2068965517241379
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,few_shot,"No, children are not routinely tested for mitochondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism are no exception. The Q-CHAT-10 and M-CHAT-R/F are screening tools designed to identify children who may benefit from further evaluation, but they do not diagnose or rule out any medical conditions, including mitochondrial diseases. If you are concerned about your child's health, it is important to speak with your GP or family doctor as soon as possible. They can refer you to a specialist if necessary.",6193.76,1838,125,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c7|mchat_faq_c8|mchat_faq_c6|nimh_asd_c1|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder,1.55,1.0,1,0.0,0,2026-08-25T04:04:18.015520,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8698259592056274,roberta-large/bert-score-0.3.12,0.22818791946308725
