prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,llama3-8b,few_shot,"There is ongoing debate and research regarding potential links between vaccinations and Autism Spectrum Disorder (ASD). However, numerous scientific studies and reviews have consistently shown that there is no causal link between receiving vaccines and developing ASD.

The Centers for Disease Control and Prevention (CDC), the American Academy of Pediatrics (AAP), and other reputable health organizations worldwide all agree that vaccines are safe and effective in preventing serious diseases like measles, mumps, rubella, diphtheria, tetanus, pertussis, polio, and others.

Multiple large-scale studies, including those conducted by the Institute of Medicine (now known as the National Academy of Medicine) and the Cochrane Library, have found no evidence supporting a direct link between vaccine administration and an increased risk of ASD.

In fact, many experts believe that the benefits of vaccination far outweigh the risks, and that the overwhelming majority of children develop normally after receiving standard childhood vaccinations.

If you're looking into this topic because you've received a concerning screening result, please know that a screening score doesn't confirm or rule out a diagnosis of ASD. It simply suggests that further investigation might be helpful. As mentioned earlier, a qualified healthcare provider will need to assess your child thoroughly before making any conclusions.

Would you like more information on what a recent screening result might indicate? Or perhaps guidance on finding resources for early intervention services?",11472.96,744,273,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:30:40.220350,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8388041853904724,0.16568047337278105
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,llama3-8b,few_shot,"There has been an increase in the number of children being identified with Autism Spectrum Disorder (ASD) over the past few decades. Several factors contribute to this trend:

* Improved awareness and recognition among healthcare professionals
* Increased access to early intervention services and screenings
* Changes in diagnostic criteria and guidelines
* Greater emphasis on early identification and support for neurodiverse individuals

It's essential to note that while there may be more children being identified with ASD, this doesn't necessarily mean that the prevalence of ASD itself is increasing. Instead, it's likely due to better detection and reporting methods.

The Centers for Disease Control and Prevention (CDC) reported that in the United States, the estimated prevalence of ASD among 8-year-old children increased from 1 in 150 in 2000 to 1 in 44 in 2016. However, some researchers argue that this rise could be attributed to changes in how diagnoses are made and recorded rather than an actual increase in cases.

Regardless of the reason behind the numbers, it's crucial to remember that every child is unique, and each one deserves a comprehensive evaluation by a qualified professional before making any conclusions about their development or potential needs.",10227.76,742,238,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,0.9949,1,0.0,0,2026-07-23T01:30:50.451750,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8588137626647949,0.19292604501607716
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,llama3-8b,few_shot,"Yes, individuals of all ages, including adults, can receive an Autism Spectrum Disorder (ASD) diagnosis. While many people are diagnosed in early childhood, some may not receive a diagnosis until later in life, often due to difficulties accessing services or understanding the signs and symptoms.

Adults may experience challenges related to social interactions, communication, repetitive behaviors, and sensory sensitivities, just like those experienced by children with ASD. However, these differences might manifest differently in adulthood, making it more challenging to recognize and address.

If you're considering seeking a diagnosis as an adult, here are some key points to keep in mind:

*   **Self-referral**: Many countries offer self-referral pathways for adults to access ASD assessments and diagnoses. Check with local healthcare providers or organizations specializing in neurodiversity support.
*   **Comprehensive evaluations**: Adult ASD assessments typically involve a comprehensive evaluation by a multidisciplinary team, including psychologists, psychiatrists, occupational therapists, and sometimes speech therapists.
*   **Diagnostic criteria**: The Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5) provides guidelines for diagnosing ASD in adults. Clinicians will assess various aspects, including:
    *   Social interaction and communication patterns
    *   Repetitive behaviors and interests
    *   Sensory processing and integration
    *   Executive function and cognitive abilities
*   **Co-occurring conditions**: Adults with ASD often experience co-occurring mental health conditions, such as anxiety, depression, or attention deficit hyperactivity disorder (ADHD). These conditions require separate evaluations and treatment plans.
*   **Treatment and support**: Once diagnosed, adults with ASD can access a range of interventions, including therapy, counseling, and accommodations to improve daily functioning and quality of life.

Seeking a diagnosis as an adult can be a personal journey. It's essential to approach this process with patience, self-awareness, and a willingness to explore new perspectives. Consider reaching out to trusted friends, family members, or professionals for emotional support throughout the process.",17226.21,741,414,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,0.9933,2,0.0332,0,2026-07-23T01:31:07.681834,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8342514634132385,0.14146341463414633
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,llama3-8b,few_shot,"Mitochondrial diseases or disorders occur when there's an issue with the mitochondria within cells. Mitochondria are tiny structures inside each cell where energy is produced through a process called cellular respiration. 

Imagine your body like a house with many rooms (cells) needing electricity to function properly. In this analogy, the mitochondria are like the power plants providing electricity to all those rooms. When something goes wrong with these power plants, the entire household (your body) can suffer.

There are over 150 known types of mitochondrial diseases, ranging from mild to severe. Some common symptoms include muscle weakness, fatigue, seizures, vision problems, heart issues, and developmental delays. These conditions often affect multiple systems in the body simultaneously.

Some people inherit mitochondrial DNA mutations from their parents, while others acquire them due to environmental factors or random genetic changes during development. Since only egg cells contribute mitochondrial DNA, mothers pass down these genes to their offspring, making maternal inheritance more likely.

Symptoms vary widely depending on the specific disorder and its severity. While some individuals experience significant challenges, others might have milder effects. Diagnosis typically involves a combination of blood tests, imaging studies, and physical exams.

If you're concerned about potential mitochondrial disease, consult a healthcare provider experienced in genetics or pediatrics. They'll assess your situation, discuss testing options, and guide further actions based on the results.",11571.28,741,277,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:31:19.256981,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8668975830078125,0.20108695652173914
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,llama3-8b,few_shot,"There isn't a direct link between mitochondrial disease and autism specifically. However, some research suggests that individuals with certain types of mitochondrial disorders may be more likely to experience developmental delays or difficulties, including those related to social communication and behavior, which are also seen in autism spectrum disorder (ASD).

Mitochondrial diseases affect the mitochondria, the energy-producing structures within cells. When these diseases occur, the body's ability to produce energy can be impaired, leading to various symptoms depending on the specific type and severity of the disorder.

Some studies indicate that people with certain mitochondrial diseases, particularly those affecting complex III and IV, may have an increased risk of developing neurodevelopmental issues, including ASD-like traits. These conditions often involve mutations in genes like MT-TL1, MT-CO1, MT-ATP6, and others.

It's essential to note that this association doesn't mean that every individual with a mitochondrial disease will develop ASD, nor does it confirm that everyone diagnosed with ASD has a mitochondrial issue. Many cases of ASD remain unexplained, even after genetic testing.

If you're concerned about your child's development or suspect they might have a mitochondrial disorder, consult with your pediatrician or a genetics expert. They'll assess your child's overall health, perform necessary tests, and guide further evaluations if required.

Keep in mind that early detection and intervention are crucial for managing mitochondrial diseases and addressing potential developmental challenges. Regular check-ups and monitoring can help ensure your child receives the best support possible.

To clarify, a screening test for autism, such as the Q-Chat-10 or M-Chat-R/F, is not designed to detect mitochondrial disease. It's primarily meant to flag children who might need additional evaluation due to concerns about their social interaction, communication, or play skills. If you've received a high-risk result, it's still essential to discuss your child's unique situation with a healthcare provider before making any conclusions about their needs.",16178.64,744,391,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:31:35.439567,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8420992493629456,0.1583710407239819
P006,general_health_knowledge,What is regressive encephalopathy?,llama3-8b,few_shot,"I'm happy to help clarify this term for you!

Regressive encephalopathy refers to a rare and serious brain disorder where an individual experiences a significant decline in cognitive function, often accompanied by changes in behavior, personality, and physical abilities. It typically occurs after a period of normal development, making it distinct from degenerative conditions like Alzheimer's disease, which affects people later in life.

In some cases, regressive encephalopathies can be caused by infections, injuries, or genetic disorders. However, the exact causes are still being researched, and more study is needed to fully understand its mechanisms.

It's essential to note that regressive encephalopaties are extremely rare and usually occur in very young children. Symptoms can vary widely depending on the specific type and severity of the condition, but common signs include:

* Loss of previously acquired skills (e.g., speech, walking)
* Decreased responsiveness or alertness
* Changes in sleep patterns
* Seizures
* Muscle weakness or paralysis
* Vision problems
* Hearing loss

If you're concerned about your child's health or notice any unusual symptoms, please consult with your pediatrician or healthcare provider immediately. They will assess your child's situation and determine the best course of action.

Keep in mind that every child develops at their own pace, and some may need extra support or accommodations along the way. If you have concerns about your child's development, don't hesitate to reach out to your healthcare team for guidance and reassurance.",12788.57,743,306,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:31:48.232024,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8471940159797668,0.11538461538461538
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,llama3-8b,few_shot,"There isn't a direct causal link established between autism and encephaly (also known as hydranencephaly). However, both conditions involve brain abnormalities, and some research suggests that individuals with certain types of encephalocele (a rare congenital anomaly where part of the brain protrudes through an opening in the skull) may also have co-existing neurodevelopmental disorders, including autism spectrum disorder (ASD).

Encephaloceles often occur alongside other structural anomalies, like hydrocephalus (fluid accumulation within the brain), and these complex cases can increase the likelihood of neurodevelopmental issues. While there's no straightforward correlation between encephalopathy and ASD, early intervention and comprehensive assessments are crucial for identifying potential developmental delays or disorders in affected infants.

If you're concerned about your child's development, consult with your pediatrician or healthcare provider regarding further evaluation and guidance.",7522.21,746,178,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:31:55.757768,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8429640531539917,0.11976047904191615
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,llama3-8b,few_shot,"Mitochondrial diseases are a group of conditions caused by problems with the mitochondria, the energy-producing structures within cells. These issues can affect various parts of the body, including the brain. Research suggests there may be connections between mitochondrial dysfunction and several neurological and psychiatric conditions, although more research is needed to fully understand these relationships.

Some potential associations include:

* **Epilepsy**: Mitochondrial dysfunction has been linked to certain types of epilepsy, particularly those with complex genetic causes.
* **Neurodegenerative diseases**: Conditions like Alzheimer's disease, Parkinson's disease, and Huntington's disease have been associated with mitochondrial mutations or dysfunction.
* **Attention Deficit Hyperactivity Disorder (ADHD)**: Some studies suggest a link between mitochondrial function and ADHD, possibly due to differences in energy metabolism.
* **Autism Spectrum Disorders (ASD)**: While not directly proven, some research indicates that mitochondrial dysfunction might contribute to the development of ASD, especially in cases where there are underlying metabolic issues.
* **Schizophrenia**: There's evidence suggesting that mitochondrial abnormalities might play a role in schizophrenia, potentially affecting neurotransmitter systems and cognitive functions.

It's essential to note that these associations are still being researched, and many questions remain unanswered. More investigation is necessary to clarify the exact nature of these connections and determine whether mitochondrial dysfunction contributes to the development or progression of these conditions.

Keep in mind that every individual's situation is unique, and while there may be links between mitochondrial disease and other brain-related disorders, a comprehensive understanding of an individual's specific circumstances is crucial before making any conclusions.

If you're concerned about your child's health or development, consult with your pediatrician or a healthcare professional for personalized guidance and support.",14367.87,752,345,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:32:10.129417,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8243168592453003,0.10843373493975904
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,llama3-8b,few_shot,"Research suggests there isn't a direct link between vaccines and causing or worsening mitochondrial diseases. Mitochondrial diseases are complex conditions caused by problems within the mitochondria, the energy-producing structures inside cells. These issues affect the body's ability to produce energy, leading to various symptoms like muscle weakness, fatigue, and seizures.

The Centers for Disease Control and Prevention (CDC) and numerous scientific studies have investigated potential connections between vaccines and mitochondrial disorders. While some early research raised concerns, more recent and comprehensive studies haven't found evidence supporting a causal relationship.

In fact, many reputable health organizations, including the CDC, the American Academy of Pediatrics, and the World Health Organization, agree that vaccines don't trigger or exacerbate mitochondrial disease. However, individuals with pre-existing mitochondrial disorders might need special considerations before receiving certain vaccinations due to their weakened immune systems.

If you're concerned about vaccine safety for a child with a known mitochondrial disorder, consult with your pediatrician or healthcare provider. They'll assess individual circumstances and provide personalized guidance based on current recommendations and guidelines.

It's essential to note that while vaccines themselves aren't directly linked to mitochondrial disease, underlying health conditions, genetic predispositions, and environmental factors can contribute to an increased risk of complications after vaccination. Regular monitoring and consultation with a healthcare expert ensure the best approach for each child's unique situation.",11045.3,743,267,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:32:21.178614,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.847541332244873,0.15238095238095237
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,llama3-8b,few_shot,"Children are not typically routinely tested for mitochondrial diseases unless there is a specific reason to suspect one. Mitochondrial diseases are relatively rare conditions that affect the mitochondria, the energy-producing structures within cells. While some genetic disorders like Fragile X syndrome and certain metabolic disorders increase the likelihood of having a mitochondrial disorder, routine testing isn't standard practice.

As for children with autism, while there is an increased incidence of mitochondrial dysfunction among individuals with autism, there is no universal recommendation for routine mitochondrial disease testing in this population. However, if there are concerns about potential underlying causes of symptoms or regression, a healthcare provider might consider further investigation into mitochondrial function as part of a comprehensive evaluation.

Keep in mind that every child's situation is unique, and testing decisions depend on individual circumstances rather than being based solely on a diagnosis of autism. 

If you're concerned about your child's health or development, discussing these worries with your pediatrician or primary care physician is essential. They will assess your child's overall health and determine if additional tests or evaluations are necessary.",8825.42,749,210,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:32:30.007562,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8691954016685486,0.1924686192468619
