prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,bertscore_scorer,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, vaccines do not cause autism spectrum disorder (ASD). The misconception originated from a fraudulent research by British ex-doctor Andrew Wakefield in 1998. Since then, numerous studies have been conducted and found no link between vaccinations and ASD. This myth persists due to misinformation and fear, but it is important for parents and caregivers to understand the truth and seek accurate information from trusted sources such as healthcare professionals.",5514.03,287,100,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:21:54.784756,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8587712049484253,roberta-large/bert-score-0.3.12,0.1340782122905028
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"Yes, the number of children being diagnosed with Autism Spectrum Disorder (ASD) has been increasing in recent years. This is due to a combination of factors such as increased awareness and understanding of ASD, better diagnostic tools, and more inclusive screening practices. However, it's important to note that while the prevalence of ASD may be increasing, the actual incidence rate remains relatively stable.",3779.35,284,84,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:21:58.565597,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8759772777557373,roberta-large/bert-score-0.3.12,0.25142857142857145
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"Yes, adults can be diagnosed with autism spectrum disorder (ASD). However, the process is typically more complex and requires a thorough evaluation by a qualified clinician. It's important to note that while ASD is often associated with childhood, it can also affect individuals throughout their lives. If you or someone you know is concerned about their own autistic traits or wants to explore this possibility further, it's essential to seek professional help from an experienced mental health provider who specializes in autism.",4537.53,283,103,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:03.104598,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8724778890609741,roberta-large/bert-score-0.3.12,0.1752577319587629
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"Mitochondrial diseases or disorders are conditions that affect the mitochondria, which are small organelles inside cells responsible for producing energy. These conditions can cause a range of symptoms such as muscle weakness, seizures, developmental delays, and other health problems. They can be inherited from one's mother or passed down through both parents. While they are relatively rare, they can have significant impacts on an individual's quality of life. Treatment options vary depending on the specific type of mitochondrial disease or disorder and may include medications, supplements, dietary changes, and other therapies.",5698.27,285,127,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:08.804407,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8672649264335632,roberta-large/bert-score-0.3.12,0.1802575107296137
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is some evidence to suggest that mitochondrial disease may be linked to autism. Mitochondria are small organelles found in the cells of all living things, and they play a crucial role in converting food into energy. Some studies have suggested that certain types of mitochondrial disorders can cause symptoms similar to those seen in autism, such as difficulty with social interaction, communication problems, and repetitive behaviors. However, more research is needed to fully understand this relationship and determine whether there is a causal link between mitochondrial disease and autism. It's important for individuals with autism or suspected autism to receive a comprehensive medical evaluation by a qualified healthcare professional to rule out any underlying conditions.",6759.37,289,151,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:15.565383,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8694010376930237,roberta-large/bert-score-0.3.12,0.21238938053097345
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"Regressive encephalopathy is a term used to describe a condition in which a child's development regresses, or goes backwards, after an initial period of normal growth. This can happen for various reasons and may involve changes in language, social skills, behavior, or other areas of development. It is important to note that this is not the same as autism, but it can be a symptom of certain conditions that are associated with autism spectrum disorder (ASD). If you have concerns about your child's development, it is always best to consult with a healthcare professional who can provide a proper diagnosis and recommend appropriate treatment options.",5946.16,287,135,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:21.513092,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8610190153121948,roberta-large/bert-score-0.3.12,0.15652173913043477
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"There is no direct relationship between autism and encephalopathy. Encephalopathy refers to a condition in which the brain tissue becomes damaged or inflamed, often due to an infection or other medical issue. While some people with autism may also have encephalitis (a type of encephalopathic disorder), it's important to note that not all people with autism will develop this condition. It's also worth noting that there are many different causes of autism, including genetic factors, environmental influences, and even differences in brain development.",5441.31,290,122,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:26.955962,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8708623051643372,roberta-large/bert-score-0.3.12,0.13559322033898305
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"Mitochondrial disease is a group of genetic disorders that affect the mitochondria, which are small organelles within cells that produce energy. These disorders can cause a variety of symptoms related to brain function, including developmental delays, learning disabilities, and behavioral problems. Some studies have suggested that mitochondrial dysfunction may be involved in the development of autism spectrum disorder (ASD), although more research is needed to confirm this relationship. It's important to note that while mitochondrial disease can cause a range of neurological symptoms, it does not necessarily mean that someone with ASD has mitochondrial disease or vice versa. If you have concerns about your child's health, it's always best to consult with a healthcare professional who can provide personalized advice based on their individual circumstances.",7822.26,296,174,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:34.779858,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.850345253944397,roberta-large/bert-score-0.3.12,0.15384615384615383
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,"There is no evidence to suggest that vaccines cause or worsen mitochondrial diseases. Mitochondria are the powerhouses of our cells, and they can be affected by certain genetic mutations, which can lead to a variety of health conditions known as mitochondrial disorders. These disorders can affect different parts of the body, including the brain, muscles, and organs.

While some people with mitochondrial disorders may experience symptoms similar to those associated with autism, such as difficulty with social interaction and communication, there is no direct link between mitochondrial disorders and autism. In fact, research has shown that the prevalence of autism in children with mitochondrial disorder is not significantly higher than in the general population.

It's important to note that while vaccines do contain substances that can potentially interact with mitochondria, these interactions are typically minor and do not cause any significant harm. The benefits of vaccination far outweigh any potential risks for most individuals.",9727.41,289,215,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:44.509103,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8593086004257202,roberta-large/bert-score-0.3.12,0.21008403361344535
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitochondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism may be at higher risk for certain mitochondrial disorders due to genetic and environmental factors associated with autism, but this does not mean that all children with autism will have a mitochondrial disease. It's important for parents or caregivers of children with autism to discuss any concerns about mitochondrial diseases with their healthcare provider.",4708.93,295,106,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:22:49.219619,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8837657570838928,roberta-large/bert-score-0.3.12,0.24242424242424246
