prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,few_shot,"No, there is currently no evidence to support the claim that vaccines cause autism. This misconception originated from a fraudulent research conducted by British ex-doctor Andrew Wakefield, which was later proven to have been manipulated. Since then, numerous studies have been conducted and found no link between vaccinations and autism. It is important to rely on scientifically validated information and to consult with healthcare professionals when making decisions about your child's health.",3887.41,817,98,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:13:53.582288,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8533397316932678,0.15300546448087432
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,few_shot,"Yes, there has been an increase in the number of children being diagnosed with Autism Spectrum Disorder (ASD) over the past few decades. This is due to increased awareness, better understanding of the disorder, and advancements in diagnostic tools. However, it's important to note that while the prevalence of ASD has increased, the rate of diagnosis remains relatively low, meaning that many children with ASD go undiagnosed.",3607.16,814,92,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:13:57.192076,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8658252358436584,0.20111731843575417
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,few_shot,"Yes, adults can be diagnosed with Autism Spectrum Disorder (ASD). However, the process is typically more complex than for children because adults often have developed coping mechanisms and may not exhibit all the characteristic symptoms associated with ASD. Adults with ASD may experience difficulties with social interaction, communication, and repetitive behaviors. Diagnosis in adulthood is usually based on a comprehensive evaluation by a team of professionals, including psychiatrists, neurologists, psychologists, and other specialists. It's important to note that while an adult can receive a diagnosis of ASD, this does not change their life experiences or the way they were raised.",5612.85,813,139,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:02.807548,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8808130025863647,0.1990521327014218
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,few_shot,"Mitochondria are small organelles found within cells throughout the body. They play an important role in producing energy through a process called cellular respiration. Mitochondrial diseases or disorders occur when there is a problem with the function of these organelles, leading to reduced energy production within cells. These types of disorders can affect various parts of the body, including the brain, heart, liver, and muscles. Symptoms can vary widely depending on the specific type of mitochondrial disorder and the affected area of the body. Some common symptoms include muscle weakness, fatigue, seizures, vision problems, hearing loss, and developmental delays. There are many different types of mitochondrial disorders, some of which can be inherited from one generation to the next. Treatment options for mitochondrial disorders can include medications, supplements, dietary changes, and other therapies aimed at improving energy production within cells.",7283.59,815,193,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,0.9927,1,0.0,0,2026-07-23T01:14:10.093830,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8888118267059326,0.25
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,few_shot,"There is some evidence suggesting a potential link between mitochondrial dysfunction and autism. Mitochondria are small organelles found in cells throughout the body that produce energy through cellular respiration. Some studies have suggested that mitochondrial dysfunctions may contribute to the development of autism. However, more research is needed to fully understand this potential connection and its implications for treatment and prevention. It's important to note that while there may be a correlation between mitochondrial function and autism, it does not necessarily mean that mitochondrial disease causes autism.",4667.35,819,122,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:14.763936,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8581767678260803,0.20304568527918782
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,few_shot,Regressive enceph,503.17,817,7,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,0,0.0,0,2026-07-23T01:14:15.269495,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.7891585826873779,0.016
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,few_shot,"Yes, there is a potential link between autism and en cephalopathy. Encephalopathy refers to damage or abnormalities in the brain, which can occur due to various factors including genetic mutations, environmental exposures, and infections. Some research suggests that certain types of encephalopathies, such as those caused by viral infections like rubella or congenital syphilis, may increase the risk of developing autism spectrum disorder (ASD). However, it's important to note that this is still an area of active research, and more studies are needed to fully understand the relationship between encephalopathic conditions and autism.",5582.49,820,144,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:20.854537,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8458849787712097,0.12598425196850394
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,few_shot,"There is some evidence suggesting that mitochondrial disease may be associated with certain neurological and psychiatric conditions. Some studies have found an increased prevalence of mitochondrial dysfunction in individuals with autism spectrum disorder (ASD), although more research is needed to confirm this association. Additionally, there have been reports of mitochondrial involvement in other neurodegenerative diseases, such as Parkinson's disease and Alzheimer's disease. However, it is important to note that while mitochondria play a crucial role in energy production within cells, including those in the brain, the exact mechanisms linking mitochondrial dysfunctions to these disorders are still being studied and understood.",5523.9,826,146,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:26.381161,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8389199376106262,0.10256410256410257
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,few_shot,There is currently no evidence to support the claim that vaccines cause or w,824.42,819,16,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:27.208073,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8635547757148743,0.12371134020618557
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,few_shot,"No, children are not routinely tested for mitocondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism may sometimes be screened for mitochondrial disease if there is evidence to suggest that it could be contributing to their symptoms, but this is not a routine test. It's important to note that mitochondrial disease can affect many different parts of the body and can cause a wide range of symptoms, including those associated with autism. If you are concerned that your child may have mitochondrial disease, it's best to speak with your child's healthcare provider for more information and guidance.",5297.74,825,137,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,,,0.0,1.0,1,0.0,0,2026-07-23T01:14:32.508559,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.880433976650238,0.24844720496894412
