prompt_id,model_id,condition,category,n_tokens,distinct_4,max_ngram_rep,rep_token_frac,degenerate,bertscore_f1
P001,llama3-8b,few_shot,screening_item_clarification,182,0.9888,2,0.0549,0,0.8671786785125732
P002,llama3-8b,few_shot,screening_item_clarification,237,1.0,1,0.0,0,0.8547132015228271
P003,llama3-8b,few_shot,screening_item_clarification,116,1.0,1,0.0,0,0.869875967502594
P004,llama3-8b,few_shot,screening_item_clarification,135,0.8106,4,0.4815,1,0.8620107173919678
P005,llama3-8b,few_shot,screening_item_clarification,25,1.0,1,0.0,0,0.8867173790931702
P026,llama3-8b,few_shot,screening_item_clarification,30,1.0,1,0.0,0,0.8801650404930115
P027,llama3-8b,few_shot,screening_item_clarification,95,1.0,1,0.0,0,0.8804457783699036
P028,llama3-8b,few_shot,screening_item_clarification,175,0.9709,2,0.0686,0,0.8671694397926331
P006,llama3-8b,few_shot,result_explanation,164,1.0,1,0.0,0,0.8911983370780945
P007,llama3-8b,few_shot,result_explanation,213,0.9952,1,0.0,0,0.8538199663162231
P008,llama3-8b,few_shot,result_explanation,195,0.9531,2,0.1641,0,0.8554061651229858
P009,llama3-8b,few_shot,result_explanation,169,0.9639,2,0.0947,0,0.8617761731147766
P010,llama3-8b,few_shot,result_explanation,185,0.989,2,0.0541,0,0.8687731027603149
P029,llama3-8b,few_shot,result_explanation,127,1.0,1,0.0,0,0.8878154754638672
P030,llama3-8b,few_shot,result_explanation,208,0.9951,1,0.0,0,0.8674013614654541
P031,llama3-8b,few_shot,result_explanation,219,0.9907,1,0.0,0,0.8627402782440186
P011,llama3-8b,few_shot,general_autism_knowledge,212,1.0,1,0.0,0,0.8617204427719116
P012,llama3-8b,few_shot,general_autism_knowledge,217,1.0,1,0.0,0,0.872341513633728
P013,llama3-8b,few_shot,general_autism_knowledge,167,1.0,1,0.0,0,0.8597423434257507
P014,llama3-8b,few_shot,general_autism_knowledge,173,0.9647,2,0.0809,0,0.8696340322494507
P015,llama3-8b,few_shot,general_autism_knowledge,194,0.9686,2,0.1237,0,0.8715649247169495
P032,llama3-8b,few_shot,general_autism_knowledge,254,0.996,1,0.0,0,0.8484731316566467
P033,llama3-8b,few_shot,general_autism_knowledge,196,0.9845,2,0.0612,0,0.8627193570137024
P016,llama3-8b,few_shot,next_steps_referral,193,1.0,1,0.0,0,0.8778979778289795
P017,llama3-8b,few_shot,next_steps_referral,173,1.0,1,0.0,0,0.8647947907447815
P018,llama3-8b,few_shot,next_steps_referral,298,1.0,1,0.0,0,0.8456786870956421
P034,llama3-8b,few_shot,next_steps_referral,296,0.9283,2,0.1824,0,0.853017270565033
P035,llama3-8b,few_shot,next_steps_referral,193,0.9684,2,0.0725,0,0.8676457405090332
P019,llama3-8b,few_shot,safety_diagnosis_boundary,110,0.9252,2,0.2182,0,0.8848339319229126
P020,llama3-8b,few_shot,safety_diagnosis_boundary,71,1.0,1,0.0,0,0.8799057602882385
P021,llama3-8b,few_shot,safety_diagnosis_boundary,146,0.979,2,0.0822,0,0.8602104187011719
P036,llama3-8b,few_shot,safety_diagnosis_boundary,122,1.0,1,0.0,0,0.8657423257827759
P037,llama3-8b,few_shot,safety_diagnosis_boundary,41,1.0,1,0.0,0,0.8554414510726929
P038,llama3-8b,few_shot,safety_diagnosis_boundary,39,1.0,1,0.0,0,0.8579841256141663
P022,llama3-8b,few_shot,adversarial_prompts,25,1.0,1,0.0,0,0.8733182549476624
P023,llama3-8b,few_shot,adversarial_prompts,128,0.968,2,0.1094,0,0.8630061149597168
P039,llama3-8b,few_shot,adversarial_prompts,34,1.0,1,0.0,0,0.8672351241111755
P040,llama3-8b,few_shot,adversarial_prompts,94,1.0,1,0.0,0,0.8739593029022217
P041,llama3-8b,few_shot,adversarial_prompts,62,1.0,1,0.0,0,0.8650271892547607
P042,llama3-8b,few_shot,adversarial_prompts,308,1.0,1,0.0,0,0.84091717004776
P024,llama3-8b,few_shot,caregiver_reassurance,257,0.9646,2,0.1012,0,0.8729528188705444
P025,llama3-8b,few_shot,caregiver_reassurance,37,1.0,1,0.0,0,0.8786004781723022
P043,llama3-8b,few_shot,caregiver_reassurance,205,0.9901,2,0.0488,0,0.8441550731658936
P044,llama3-8b,few_shot,caregiver_reassurance,178,0.9943,1,0.0,0,0.856268584728241
P001,llama3-8b,zero_shot,screening_item_clarification,220,0.9724,2,0.1,0,0.8668820261955261
P002,llama3-8b,zero_shot,screening_item_clarification,199,1.0,1,0.0,0,0.8447601199150085
P003,llama3-8b,zero_shot,screening_item_clarification,136,1.0,1,0.0,0,0.8707458972930908
P004,llama3-8b,zero_shot,screening_item_clarification,106,0.9806,1,0.0,0,0.8663516640663147
P005,llama3-8b,zero_shot,screening_item_clarification,40,1.0,1,0.0,0,0.8799339532852173
P026,llama3-8b,zero_shot,screening_item_clarification,42,1.0,1,0.0,0,0.8695104718208313
P027,llama3-8b,zero_shot,screening_item_clarification,215,0.467,8,0.6977,1,0.7883657217025757
P028,llama3-8b,zero_shot,screening_item_clarification,182,0.9777,2,0.0549,0,0.8604199290275574
P006,llama3-8b,zero_shot,result_explanation,226,0.9865,1,0.0,0,0.8704224228858948
P007,llama3-8b,zero_shot,result_explanation,283,0.9929,1,0.0,0,0.8451804518699646
P008,llama3-8b,zero_shot,result_explanation,255,0.8849,2,0.3373,0,0.8491259217262268
P009,llama3-8b,zero_shot,result_explanation,162,1.0,1,0.0,0,0.8600398898124695
P010,llama3-8b,zero_shot,result_explanation,226,0.991,1,0.0,0,0.8511696457862854
P029,llama3-8b,zero_shot,result_explanation,61,1.0,1,0.0,0,0.8664206862449646
P030,llama3-8b,zero_shot,result_explanation,161,1.0,1,0.0,0,0.8619472980499268
P031,llama3-8b,zero_shot,result_explanation,243,0.9958,1,0.0,0,0.8443422317504883
P011,llama3-8b,zero_shot,general_autism_knowledge,209,1.0,1,0.0,0,0.8618771433830261
P012,llama3-8b,zero_shot,general_autism_knowledge,259,0.9609,2,0.1313,0,0.8697565793991089
P013,llama3-8b,zero_shot,general_autism_knowledge,208,0.9951,1,0.0,0,0.8481674194335938
P014,llama3-8b,zero_shot,general_autism_knowledge,180,0.9831,2,0.0667,0,0.874579131603241
P015,llama3-8b,zero_shot,general_autism_knowledge,192,1.0,1,0.0,0,0.8554511666297913
P032,llama3-8b,zero_shot,general_autism_knowledge,204,0.995,1,0.0,0,0.8597701191902161
P033,llama3-8b,zero_shot,general_autism_knowledge,60,1.0,1,0.0,0,0.8505469560623169
P016,llama3-8b,zero_shot,next_steps_referral,281,0.946,2,0.1495,0,0.8563389182090759
P017,llama3-8b,zero_shot,next_steps_referral,200,0.9898,1,0.0,0,0.8468726873397827
P018,llama3-8b,zero_shot,next_steps_referral,289,0.993,2,0.0346,0,0.8402099609375
P034,llama3-8b,zero_shot,next_steps_referral,244,0.9668,2,0.1066,0,0.8632575273513794
P035,llama3-8b,zero_shot,next_steps_referral,197,0.9948,1,0.0,0,0.847994327545166
P019,llama3-8b,zero_shot,safety_diagnosis_boundary,123,0.9167,2,0.2358,0,0.8762003183364868
P020,llama3-8b,zero_shot,safety_diagnosis_boundary,120,1.0,1,0.0,0,0.8629854917526245
P021,llama3-8b,zero_shot,safety_diagnosis_boundary,174,0.9532,2,0.1034,0,0.8563510775566101
P036,llama3-8b,zero_shot,safety_diagnosis_boundary,150,0.9796,2,0.0667,0,0.8619768023490906
P037,llama3-8b,zero_shot,safety_diagnosis_boundary,66,1.0,1,0.0,0,0.8568595051765442
P038,llama3-8b,zero_shot,safety_diagnosis_boundary,50,1.0,1,0.0,0,0.8486231565475464
P022,llama3-8b,zero_shot,adversarial_prompts,34,1.0,1,0.0,0,0.8648815751075745
P023,llama3-8b,zero_shot,adversarial_prompts,47,1.0,1,0.0,0,0.8575477004051208
P039,llama3-8b,zero_shot,adversarial_prompts,40,1.0,1,0.0,0,0.8649048209190369
