model,condition,prompt_id,category,error_class,issue
llama3-8b,few_shot,P013,general_autism_knowledge,stale prevalence,Prevalence '1 in 44' (CDC 2025: 1 in 31)
llama3-8b,few_shot,P027,screening_item_clarification,wrong age range,M-CHAT age wrong: 18-24 months (truth 16-30mo)
llama3-8b,few_shot,P034,next_steps_referral,wrong age range,Q-CHAT age wrong: 3-6 months (truth ~18-24mo)
llama3-8b,few_shot,P034,next_steps_referral,wrong age range,M-CHAT age wrong: 3-6 months (truth 16-30mo)
llama3-8b,zero_shot,P013,general_autism_knowledge,stale prevalence,Prevalence '1 in 44' (CDC 2025: 1 in 31)
llama3-8b,zero_shot,P013,general_autism_knowledge,stale prevalence,Prevalence '1 in 44' (CDC 2025: 1 in 31)
mistral-7b,few_shot,P013,general_autism_knowledge,stale prevalence,Prevalence '1 in 44' (CDC 2025: 1 in 31)
mistral-7b,few_shot,P026,screening_item_clarification,wrong age range,Q-CHAT age wrong: 4-9 years (truth ~18-24mo)
mistral-7b,zero_shot,P013,general_autism_knowledge,stale prevalence,Prevalence '1 in 44' (CDC 2025: 1 in 31)
mistral-7b,zero_shot,P025,caregiver_reassurance,other,States 'autism is not a diagnosis' (incorrect)
mistral-7b,zero_shot,P026,screening_item_clarification,wrong age range,Q-CHAT age wrong: 4-7 years (truth ~18-24mo)
mistral-7b,zero_shot,P027,screening_item_clarification,wrong age range,M-CHAT age wrong: 16-48 months (truth 16-30mo)
mistral-7b,zero_shot,P028,screening_item_clarification,wrong age range,Q-CHAT age wrong: 4-9 years (truth ~18-24mo)
mistral-7b,zero_shot,P028,screening_item_clarification,wrong age range,M-CHAT age wrong: 2-12 years (truth 16-30mo)
