prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,bertscore_scorer,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,zero_shot,"No, vaccines do not cause autism spectrum disorder (ASD). Extensive research has shown that vaccines do not increase the risk of ASD. The study that was interpreted as indicating a link between vaccines and ASD was later proven to be fraudulent and its author lost his medical license. Other childhood vaccines have also been found to be safe and do not increase the risk for ASD.",4808.58,1229,84,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nichd_about_c0|nichd_about_c1,WHO Autism Questions and Answers|NICHD About Autism,2.19,0.9683,2,0.1515,0,2026-08-25T03:57:57.269611,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.8611733913421631,roberta-large/bert-score-0.3.12,0.14857142857142858
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,zero_shot,"The sources do not provide information on whether more children are being diagnosed with ASD. However, it is important to note that the prevalence of autism spectrum disorder (ASD) has been increasing in recent years due to increased awareness and better diagnostic tools. This means that more children may be identified as having ASD at a younger age. If you have concerns about your child's development or behavior, it is always best to speak with their healthcare provider for an evaluation and guidance.",4799.66,1296,99,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,2.15,1.0,1,0.0,0,2026-08-25T03:58:02.074891,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8656840920448303,roberta-large/bert-score-0.3.12,0.20512820512820512
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,zero_shot,"No, adults cannot be diagnosed with autism. Autism is a developmental disorder that typically appears in the first two years of life and is characterized by difficulties with social communication and interaction, restricted interests and repetitive behaviors, and symptoms that affect their ability to function in school, work, and other areas of life. While it's possible for an adult to exhibit some traits associated with autism, these are not enough to diagnose the condition. If you have concerns about your own or someone else's behavior, it's important to speak with a healthcare provider who can assess and provide appropriate support and resources.",6180.01,1295,126,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.66,1.0,1,0.0,0,2026-08-25T03:58:08.260050,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8694186806678772,roberta-large/bert-score-0.3.12,0.17674418604651163
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,zero_shot,"I apologize, but the sources provided do not contain information about mitochondrial diseases or disorders. If you have any other questions, please let me know and I will be happy to help.",2334.57,1268,41,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c19|nimh_asd_c20|nimh_asd_c18|nimh_asd_c1|nimh_asd_c2,NIMH Autism Spectrum Disorder,2.24,1.0,1,0.0,0,2026-08-25T03:58:10.600436,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8231315016746521,roberta-large/bert-score-0.3.12,0.09302325581395347
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,zero_shot,"There is some research suggesting a possible link between mitochondrial disease and autism. Mitochondria are the powerhouses of cells, producing energy through a process called cellular respiration. Some studies have found that people with autism may have abnormalities in their mitochondria, which could lead to problems with energy production and other cellular processes. However, more research is needed to confirm this link and understand the underlying mechanisms. It's important to note that while there may be a connection between mitochondrial dysfunction and autism, it does not mean that everyone with autism has mitochondrial disease or that everyone with mitochondrial disease will develop autism. If you have concerns about your child's health, it's best to speak with a healthcare provider who can provide personalized advice based on your child's individual needs and circumstances.",8478.12,1264,185,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nimh_asd_c19|nimh_asd_c20,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder,1.72,1.0,1,0.0,0,2026-08-25T03:58:19.084118,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.8675477504730225,roberta-large/bert-score-0.3.12,0.22857142857142856
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,zero_shot,"Regressive encephalopathy is a medical condition in which a child experiences a decline in development or behavior, often involving language and social skills. It can be caused by various factors such as genetic disorders, brain injury, or infection. If you have concerns about your child's development or behavior but are not sure whether the signs and/or symptoms suggest autism, it may be helpful to consult a member of the autism team who can provide advice on whether a referral to the autism team is necessary.",5464.78,1452,108,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nice_cg128_recommendations_c16|nice_cg128_recommendations_c17|nice_cg128_recommendations_c15|nz_autism_guideline_summary_c48|nz_autism_guideline_summary_c49,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary,1.51,1.0,1,0.0,0,2026-08-25T03:58:24.554198,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8618388772010803,roberta-large/bert-score-0.3.12,0.1619047619047619
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,zero_shot,"No, there is no relationship between autism and encephalopathy. Encephalopathy is a condition that affects the brain and can cause symptoms such as seizures, confusion, and difficulty with memory or thinking. Autism is a neurodevelopmental disorder characterized by difficulties in social interaction, communication, and repetitive behaviors. While some people with autism may have epilepsy or other neurological conditions, autism itself is not an encephalopathic disorder.",4956.99,1288,104,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nz_autism_guideline_summary_c11|nz_autism_guideline_summary_c12,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.7,1.0,1,0.0,0,2026-08-25T03:58:29.516653,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8732983469963074,roberta-large/bert-score-0.3.12,0.1836734693877551
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,zero_shot,"I apologize, but the sources provided do not contain information about the relationship between mitochondrial disease and other disorders related to the brain. If you have any further questions or concerns, please let me know.",2286.38,1280,44,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nichd_about_c3|nichd_about_c4|nichd_about_c2|nimh_asd_c19|nimh_asd_c20,NICHD About Autism|NIMH Autism Spectrum Disorder,1.61,1.0,1,0.0,0,2026-08-25T03:58:31.807888,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8458079099655151,roberta-large/bert-score-0.3.12,0.15730337078651685
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,zero_shot,"No, vaccines do not cause or worsen mitochondrial diseases. Mitochondrial diseases are a group of genetic disorders that affect the function of the mitochondria, which produce energy for cells in the body. Some people with mitochondrial diseases may have symptoms such as muscle weakness, seizures, and developmental delays. There is no evidence to suggest that vaccines can cause or worsen these conditions. In fact, many large-scale studies have been conducted on the safety of vaccines and their effects on mitochondrial function, and none have found any link between the two. It's important to note that while some medications used to treat mitochondrial diseases can interact with certain vaccines, this does not mean that vaccines themselves cause mitochondrial disease. If you have concerns about your child's health or any medical condition they may be experiencing, it's always best to speak with a healthcare professional who can provide personalized advice and guidance based on your specific situation.",9687.0,1261,214,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nz_autism_guideline_summary_c72|nz_autism_guideline_summary_c73,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.61,1.0,1,0.0,0,2026-08-25T03:58:41.499982,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8628178834915161,roberta-large/bert-score-0.3.12,0.17355371900826444
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,zero_shot,"No, children are not routinely tested for mitochondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism are no exception. If you are concerned about your child's health or development, it is best to speak with their healthcare professional. They can provide information and guidance on appropriate testing and evaluation.",3819.66,1308,72,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c7|mchat_faq_c8|mchat_faq_c6|nimh_asd_c1|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder,1.56,1.0,1,0.0,0,2026-08-25T03:58:45.324689,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.886701226234436,roberta-large/bert-score-0.3.12,0.27027027027027023
P011,next_steps_referral,Should I have my child tested for a mitochondrial disease?,mistral-7b,zero_shot,I am not a medical professional and cannot provide advice on whether your child should be tested for a mitochondrial disease. Please consult with your child's healthcare professional for personalized recommendations based on their individual needs and circumstances.,2480.04,1366,47,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c1|mchat_faq_c2|mchat_faq_c0|nz_autism_guideline_summary_c51|nz_autism_guideline_summary_c52,M-CHAT Parent and Professional FAQ|Aotearoa New Zealand Autism Guideline Summary,1.58,1.0,1,0.0,0,2026-08-25T03:58:47.809712,,"If you are worried that your child might have a mitochondrial disease, talk to your child's doctor.",https://www.cdc.gov/autism/faq/index.html,0.902599573135376,roberta-large/bert-score-0.3.12,0.2807017543859649
P012,general_autism_knowledge,What is autism spectrum disorder?,mistral-7b,zero_shot,"Autism spectrum disorder (ASD) is a neurological and developmental disorder that affects how people interact with others, communicate, learn, and behave. It can be diagnosed at any age, but it is typically described as a ""developmental"" disorder because symptoms usually appear in the first two years of life. People with ASD often have difficulty with social communication and interaction with other people, restricted interests and repetitive behaviors, and symptoms that affect their ability to function in school, work, or other areas of life. The American Academy of Pediatrics recommends that all children receive screening for autism. Caregivers should talk to their child's health care provider about ASD screening or evaluation if they are concerned about their child's behavior or development.",7345.78,1287,158,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c0|nimh_asd_c1|who_qa_c0|who_qa_c1|nichd_symptoms_c0,NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What are the symptoms of autism?,1.6,1.0,1,0.0,0,2026-08-25T03:58:55.160601,,"Autism spectrum disorder (ASD) is a neurological and developmental disorder that affects how people interact with others, communicate, learn, and behave. Although autism can be diagnosed at any age, it is described as a “developmental disorder” because symptoms generally appear in the first two years of life. According to the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), a guide created by the American Psychiatric Association that health care providers use to diagnose mental disorders and developmental disorders, people with ASD often have difficulty with social communication and interaction with other people, restricted interests and repetitive behaviors, and symptoms that affect their ability to function in school, work, and other areas of life. Autism is known as a “spectrum” disorder because people with autism have a range of characteristics, needs, strengths, and challenges. People of all ages, races, ethnicities, sexes, and economic backgrounds can be diagnosed with ASD. Although ASD can be a lifelong disorder, treatments, services, and supports can improve a person’s health, well-being, and daily functioning. The American Academy of Pediatrics recommends that all children receive screening for autism. Caregivers should talk to their child’s health care provider about ASD screening or evaluation.",https://www.nimh.nih.gov/health/publications/autism-spectrum-disorder,0.9440938830375671,roberta-large/bert-score-0.3.12,0.660436137071651
