prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error,reference_answer,source_url,bertscore_f1,bertscore_scorer,rouge_l
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,few_shot,"No, vaccines do not cause autism spectrum disorder (ASD). This misconception originated from a fraudulent research by British ex-doctor Andrew Wakefield in 1998. The study was later found to be manipulated and the results were proven false. Since then, numerous studies have been conducted and found no link between vaccinations and ASD. It is important for parents to trust the overwhelming scientific consensus that vaccines are safe and effective, and do not cause autism or any other developmental disorders.",5202.19,817,111,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,0.9868,1,0.0,0,2026-08-25T03:28:40.176901,,"Many studies have looked at whether there is a relationship between vaccines and ASD. To date, the studies continue to show that vaccines are not associated with ASD. CDC knows some parents and others still have concerns. To address these concerns, CDC is part of the Inter-Agency Autism Coordinating Committee (IACC), which is working with the National Vaccine Advisory Committee (NVAC) on this issue. The job of the NVAC is to advise and make recommendations regarding the National Vaccine Program. Communication between the IACC and the NVAC will allow each group to share skills and knowledge, improve coordination, and promote better use of research resources on vaccine topics.",https://www.cdc.gov/autism/faq/index.html,0.858259916305542,roberta-large/bert-score-0.3.12,0.14814814814814817
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,few_shot,"Yes, the number of children being diagnosed with Autism Spectrum Disorder (ASD) has been increasing in recent years. This is due to a combination of factors such as increased awareness and understanding of ASD, improved diagnostic tools, and changes in diagnostic criteria. However, it's important to note that while more children are being diagnosed, this does not necessarily mean that there are more cases of ASD. It may simply reflect better identification and diagnosis of the condition.",4727.87,814,97,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:28:44.907353,,"CDC is working with partners to study the prevalence of ASD over time so we can find out if the number of children with ASD is rising, dropping, or staying the same. The prevalence of ASD among 8-year-olds has increased most years since CDC began tracking ASD in 2000. Prevalence estimates also vary across different communities. Increases between years and differences across sites within a year are likely due to a combination of factors including diagnostic practices and access to services in communities. Equitable and early identification of ASD is a public health priority so children with ASD can receive services they may need to achieve their full potential.",https://www.cdc.gov/autism/faq/index.html,0.8717048168182373,roberta-large/bert-score-0.3.12,0.23280423280423282
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,few_shot,"Yes, adults can be diagnosed with Autism Spectrum Disorder (ASD). However, the diagnosis of ASD in adults is more complex and requires a thorough evaluation by a qualified professional. The diagnostic criteria for ASD are based on behavioral patterns that were developed for children, so it may take some time to determine if an adult meets these criteria. Additionally, there may be other factors to consider when diagnosing ASD in adults, such as any co-occurring conditions or environmental influences. It's important to note that while a diagnosis of ASD can provide valuable information about an individual's needs and support, it does not define them or their abilities.",6618.12,813,138,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:28:51.528109,,"Yes, adults can be diagnosed with ASD. Diagnosis includes looking at the person's medical history, watching the person's behavior, and giving the person some psychological tests. But it can be more challenging to diagnose an adult because it is not always possible to know about the person's development during the first few years of life, and a long history of other diagnoses may complicate an ASD diagnosis. Because the focus of ASD research has been on children, we still have much to learn about the prevalence and causes of ASD across the lifespan. Behavioral interventions can be effective for adults coping with a new diagnosis of autism.",https://www.cdc.gov/autism/faq/index.html,0.8851146697998047,roberta-large/bert-score-0.3.12,0.20909090909090908
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,few_shot,"Mitochondrial diseases or disorders are a group of genetic conditions that affect the mitochondria, which are small organelles found in every cell of the body. These organelles produce energy for the cell through a process called cellular respiration.

Mitochondrial diseases can cause a wide range of symptoms, including muscle weakness, seizures, developmental delays, and gastrointestinal problems. They can be caused by mutations (changes) in genes that encode proteins involved in mitochondrial function, as well as by environmental factors such as exposure to toxins.

There is no cure for most mitochondrial diseases, but treatment may help manage symptoms and improve quality of life. Treatment options include medications, dietary supplements, physical therapy, and other therapies. In some cases, stem cell transplantation may also be considered.",8618.13,815,186,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:00.148949,,"Mitochondria are tiny parts of almost every cell in your body. Mitochondria are like the power house of the cells. They turn sugar and oxygen into energy that the cells need to work. In mitochondrial diseases, the mitochondria cannot efficiently turn sugar and oxygen into energy, so the cells do not work correctly. There are many types of mitochondrial disease, and they can affect different parts of the body: the brain, kidneys, muscles, heart, eyes, ears, and others. Mitochondrial diseases can affect one part of the body or can affect many parts. They can affect those parts mildly or very seriously. Not everyone with a mitochondrial disease will show symptoms. However, when discussing the group of mitochondrial diseases that tend to affect children, symptoms usually appear in the toddler and preschool years. Mitochondrial diseases and disorders are the same thing.",https://www.cdc.gov/autism/faq/index.html,0.8685570955276489,roberta-large/bert-score-0.3.12,0.17490494296577946
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,few_shot,"There is some research suggesting a possible link between mitochondrial disease and autism. Mitochondria are the powerhouses of cells, producing energy through a process called cellular respiration. Some studies have found that people with autism may have mitochondrial dysfunction, which can lead to problems with brain development and function. However, it's important to note that this is still an area of active research, and more work needs to be done to fully understand the relationship between mitochondrial dysfunctions and autism.",5697.41,819,113,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:05.848940,,"A child with a mitochondrial disease may also have an autism spectrum disorder, may have some of the symptoms or signs of autism, or may not have any signs or symptoms related to autism. A child with autism may or may not have a mitochondrial disease. When a child has both autism and a mitochondrial disease, they sometimes have other problems as well, including epilepsy, problems with muscle tone, and/or movement disorders. More research is needed to find out how common it is for people to have autism and a mitochondrial disorder. Right now, it seems rare. In general, more research about mitochondrial disease and autism is needed.",https://www.cdc.gov/autism/faq/index.html,0.870381772518158,roberta-large/bert-score-0.3.12,0.23157894736842105
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,few_shot,"Regressive encephalopathy is a term used to describe a condition in which a child experiences a regression, or backward development, of cognitive and/or motor skills. This can be caused by various underlying conditions such as autism spectrum disorder (ASD), epilepsy, brain tumors, and other neurological disorders. It's important for parents and caregivers to seek medical attention if they notice any signs of regressive enceph",4660.24,817,98,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:10.511736,,"Encephalopathy is a medical term for a disease or disorder of the brain. It usually means a slowing down of brain function. Regression happens when a person loses skills that they used to have, such as walking or talking or even being social. Regressive encephalopathy means there is a disease or disorder in the brain that makes a person lose skills they once had. We know that sometimes children with mitochondrial diseases seem to be developing as they should, but around toddler or preschool age, they regress. The disease was there all the time, but something happens that ""sets it off."" This could be something like malnutrition, an illness such as flu, a high fever, or dehydration, or it could be something else.",https://www.cdc.gov/autism/faq/index.html,0.8620278239250183,roberta-large/bert-score-0.3.12,0.16931216931216933
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,few_shot,"There is no direct relationship between autism and encephalopathy. Encephalopathy refers to a condition in which the brain tissue becomes damaged or inflamed, often due to an infection or other medical event. While some individuals with autism may also have encephalitis (a type of encephalitis that can cause neurological symptoms), there is currently no evidence to suggest that encephalitis directly causes autism. It's important to note that autism is a neurodevelopmental disorder that typically presents in early childhood and is characterized by difficulties with social interaction, communication, and repetitive behaviors.",6393.87,820,135,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:16.908233,,Most children with an autism spectrum disorder do not have and have not had an encephalopathy. Some children with an autism spectrum disorder have had regression and some have had a regressive encephalopathy.,https://www.cdc.gov/autism/faq/index.html,0.8671025633811951,roberta-large/bert-score-0.3.12,0.12903225806451613
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,few_shot,"Mitochondrial disease is a group of genetic disorders that affect the mitochondria, which are organelles within cells responsible for producing energy. These disorders can cause a variety of symptoms related to brain function, including seizures, developmental delays, and cognitive impairments.

Research has shown that mitochondrial disease may be associated with other disorders related to the brain, such as autism spectrum disorder (ASD), attention deficit hyperactivity disorder (ADHD), and schizophrenia. However, it's important to note that while there may be some overlap between these conditions, they are distinct entities with their own unique characteristics and causes.

One theory about the relationship between mitochondrial disease and ASD suggests that mitochondrial dysfunction may play a role in the development of this condition. Studies have found evidence of mitochondrial abnormalities in individuals with ASD, and some research has suggested that mitochondrial therapy may be beneficial for improving symptoms in some people with ASD.

Similarly, some studies have suggested that mitochondria may play a role in ADHD, although more research is needed to fully understand the relationship. There is also some evidence linking mitochondrial dysfunctions to schizophrenia, but again, more research is required to confirm these findings.

Overall, while there is some evidence suggesting a potential link between mitochondrial dysFUNCTION and various neurological disorders, it is important to remember that these are complex conditions with multiple factors contributing to their development and treatment.",15309.05,826,331,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,0.9911,2,0.0439,0,2026-08-25T03:29:32.220210,,"Different parts of the brain have different functions. The area of the brain that is damaged by a mitochondrial disease determines how the person is impacted. This means that a person could have seizures, trouble talking or interacting with people, difficulty eating, muscle weakness, or other problems. They could have one issue or several.",https://www.cdc.gov/autism/faq/index.html,0.8325011134147644,roberta-large/bert-score-0.3.12,0.1060070671378092
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,few_shot,"There is currently no evidence to suggest that vaccines cause or worsen mitochondrial diseases. Mitochondrial diseases are a group of genetic disorders that affect the function of the mitochondria, which produce energy for cells in the body. Some people with mitochondrial diseases may experience symptoms such as muscle weakness, seizures, and developmental delays.

There have been some reports of adverse reactions following vaccination (AEFI) in individuals with mitochondrial disease, but it is important to note that these cases are rare and often not related to the vaccine itself, but rather to underlying medical conditions. In fact, many children with mitochondrial disorders receive vaccinations without any issues.

It's also worth noting that there is ongoing research into the potential link between mitochondrial dysfunction and autism, but this area is still not fully understood and more studies are needed to establish a clear connection.

If you have concerns about your child's health, it's always best to speak with their healthcare provider, who can provide personalized advice based on their individual circumstances.",10995.73,819,235,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:43.218862,,"As of now, there are no scientific studies that say vaccines cause or worsen mitochondrial diseases. We do know certain illnesses that can be prevented by vaccines, such as the flu, can trigger the regression that is related to a mitochondrial disease. More research is needed to determine if there are rare cases where underlying mitochondrial disorders are triggered by anything related to vaccines. However, we know that for most children, vaccines are a safe and important way to prevent life-threatening diseases.",https://www.cdc.gov/autism/faq/index.html,0.8643063902854919,roberta-large/bert-score-0.3.12,0.20392156862745098
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,few_shot,"No, not all children are routinely tested for mitochondrial diseases. Mitochondrial disease is a group of genetic disorders that affect the function of the mitochondria, which produce energy in cells. These disorders can cause a range of symptoms, including muscle weakness, seizures, and developmental delays.

Children with autism may be at higher risk for certain mitochondrial disorders due to shared genetic mutations or environmental factors that increase their susceptibility. However, screening for mitochondrial disease is typically only done if there is a specific reason to suspect it, such as a family history of the disorder or symptoms that overlap with those seen in mitochondrial disease.

If you have concerns about your child's health or development, it's important to speak with your child's doctor or healthcare provider. They can assess your child's needs and recommend any necessary tests or treatments.",9340.11,825,193,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,0,0,completion,,,0.0,1.0,1,0.0,0,2026-08-25T03:29:52.561754,,"Children are not routinely tested for mitochondrial diseases. This includes children with autism and other developmental delays. Testing is not easy and may involve taking multiple samples of blood, and often samples of muscle. Doctors decide whether testing for mitochondrial diseases should be done based on a child's signs and symptoms.",https://www.cdc.gov/autism/faq/index.html,0.8783987164497375,roberta-large/bert-score-0.3.12,0.20512820512820515
