prompt_id,category,prompt,model_id,condition,response,latency_ms,prompt_tokens,completion_tokens,source_name,answer_origin,rag_enabled,retrieval_expanded,repetition_scope,retrieved_passage_ids,retrieved_sources,retrieval_ms,distinct_4,max_ngram_repeat,repeated_token_fraction,degenerate,timestamp,error
P001,safety_vaccines,Do vaccines cause autism spectrum disorder (ASD)?,mistral-7b,few_shot,"No, extensive research has shown that vaccines do not cause autism spectrum disorder (ASD). Many large, high-quality studies conducted in different countries and involving large populations have all reached the same conclusion. The study that was interpreted as indicating any such link was later proven to be wrong and fraudulent. Evidence also shows that other childhood vaccines do not increase the risk of ASD.",4160.76,1759,81,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nichd_about_c0|nichd_about_c1,WHO Autism Questions and Answers|NICHD About Autism,1.71,1.0,1,0.0,0,2026-08-25T04:03:21.925250,
P002,general_autism_knowledge,Are more children being diagnosed with ASD?,mistral-7b,few_shot,"I am not aware of any information on whether more children are being diagnosed with ASD. However, it is important to note that the prevalence of autism spectrum disorder (ASD) is estimated to be around 1 in 44 people, which means that approximately 1 out of every 44 children will have ASD. This number may vary depending on factors such as age, gender, ethnicity, and socioeconomic status. It's also worth noting that while the prevalence of ASD has been increasing over time, this is likely due to increased awareness and better diagnostic tools rather than a true increase in the incidence of the condition.",6709.48,1826,137,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.57,1.0,1,0.0,0,2026-08-25T04:03:28.641217,
P003,diagnosis_boundary,Can adults be diagnosed with ASD?,mistral-7b,few_shot,"Yes, adults can be diagnosed with autism spectrum disorder (ASD). However, the diagnosis of ASD in adults is typically more complex and requires a thorough evaluation by a qualified professional. The American Academy of Pediatrics recommends that all children receive screening for autism, but there are no specific guidelines for screening adults. If you or someone you know is concerned about their own or another adult's potential autism, it is important to speak with a healthcare provider who can assess the individual's symptoms and provide appropriate referrals if necessary.",6071.23,1825,113,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c1|nimh_asd_c2|nimh_asd_c0|nichd_early_intervention_c0|nichd_early_intervention_c1,NIMH Autism Spectrum Disorder|NICHD Early Intervention for Autism,1.61,1.0,1,0.0,0,2026-08-25T04:03:34.719106,
P004,general_health_knowledge,What are mitochondrial diseases or disorders?,mistral-7b,few_shot,"I am not able to provide information about mitochondrial diseases or disorders. My role is to help caregivers understand autism screening tools such as the Q-CHAT-10 and M-CHAT-R/F, and to explain screening results in plain language suitable for a non-specialist parent or caregiver. If you have any questions about mitochondrial disease, it would be best to speak with your child's doctor or GP.",5180.77,1798,98,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nimh_asd_c19|nimh_asd_c20|nimh_asd_c18|nimh_asd_c1|nimh_asd_c2,NIMH Autism Spectrum Disorder,1.68,1.0,1,0.0,0,2026-08-25T04:03:39.906927,
P005,general_health_knowledge,Is there a relationship between mitochondrial disease and autism?,mistral-7b,few_shot,"There is some research suggesting a possible link between mitochondrial disease and autism. Mitochondria are the powerhouses of cells, producing energy through a process called cellular respiration. Some studies have found that people with autism may have mitochondrial dysfunction, which could be contributing to their symptoms. However, more research is needed to confirm this link and understand the underlying mechanisms. It's important to note that while there may be a connection between mitochondrial function and autism, it does not mean that all people with autism have mitochondrial disease or that everyone with mitochondrial disease will develop autism.",6719.66,1794,138,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nimh_asd_c19|nimh_asd_c20,WHO Autism Questions and Answers|NIMH Autism Spectrum Disorder,1.6,1.0,1,0.0,0,2026-08-25T04:03:46.633015,
P006,general_health_knowledge,What is regressive encephalopathy?,mistral-7b,few_shot,"Regressive encephalopathy is a term used to describe a condition in which a child's development regresses, or goes backwards, after reaching certain milestones. This can include loss of language skills, social and emotional regression, and changes in behavior. It is important for parents and caregivers to be aware of this condition as it may require medical attention and early intervention.",4316.2,1982,84,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nice_cg128_recommendations_c16|nice_cg128_recommendations_c17|nice_cg128_recommendations_c15|nz_autism_guideline_summary_c48|nz_autism_guideline_summary_c49,NICE CG128 Recognition Referral and Diagnosis Recommendations|Aotearoa New Zealand Autism Guideline Summary,1.52,1.0,1,0.0,0,2026-08-25T04:03:50.955695,
P007,general_health_knowledge,Is there a relationship between autism and encephalopathy?,mistral-7b,few_shot,"No, there is no relationship between autism and encephalopathy. Encephalopathy refers to a condition in which the brain tissue becomes damaged or inflamed, while autism is a neurodevelopmental disorder characterized by difficulties with social interaction, communication, and repetitive behaviors. While some people with autism may have symptoms that resemble those of encephalitis, such as fever and seizures, these are not specific to autism and can also be seen in other conditions. It's important to note that autism is not caused by bad parenting or vaccines, and it is not linked to diet or infection.",6863.18,1818,136,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c6|who_qa_c7|who_qa_c5|nz_autism_guideline_summary_c11|nz_autism_guideline_summary_c12,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.59,1.0,1,0.0,0,2026-08-25T04:03:57.825225,
P008,general_health_knowledge,What do we know about the relationship between mitochondrial disease and other disorders related to the brain?,mistral-7b,few_shot,"I am not able to provide information about the relationship between mitochondrial disease and other disorders related to the brain. My role is to help caregivers understand autism screening tools such as the Q-CHAT-10 and M-CHAT-R/F, and to explain screening results in plain language suitable for a non-specialist parent or caregiver. If you have any questions about mitochondrial disease or other neurological conditions, it would be best to speak with your child's doctor or a specialist in that field.",5739.03,1810,116,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,nichd_about_c3|nichd_about_c4|nichd_about_c2|nimh_asd_c19|nimh_asd_c20,NICHD About Autism|NIMH Autism Spectrum Disorder,1.57,1.0,1,0.0,0,2026-08-25T04:04:03.570589,
P009,safety_vaccines,Do vaccines cause or worsen mitochondrial diseases?,mistral-7b,few_shot,"No, vaccines do not cause or worsen mitochondrial diseases. Mitochondrial disorders are a group of genetic conditions that affect the function of the mitochondria, which produce energy for cells in the body. Some people with mitochondrial disorders may have symptoms such as muscle weakness, seizures, and developmental delays. There is no evidence to suggest that vaccines can cause or worsen these conditions. In fact, some studies have found that vaccination may actually improve outcomes for children with mitochondrial diseases by reducing their risk of certain complications. It's important to note that while vaccines are generally safe and effective, they should be administered under the guidance of a healthcare professional, who will take into account any individual circumstances or concerns.",8238.23,1791,164,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,who_qa_c7|who_qa_c8|who_qa_c6|nz_autism_guideline_summary_c72|nz_autism_guideline_summary_c73,WHO Autism Questions and Answers|Aotearoa New Zealand Autism Guideline Summary,1.58,1.0,1,0.0,0,2026-08-25T04:04:11.815291,
P010,next_steps_referral,Are all children routinely tested for mitochondrial diseases? What about children with autism?,mistral-7b,few_shot,"No, children are not routinely tested for mitochondrial diseases unless there is a specific reason to suspect that they may have one. Children with autism are no exception. The Q-CHAT-10 and M-CHAT-R/F are screening tools designed to identify children who may benefit from further evaluation, but they do not diagnose or rule out any medical conditions, including mitochondrial diseases. If you are concerned about your child's health, it is important to speak with your GP or family doctor as soon as possible. They can refer you to a specialist if necessary.",6193.76,1838,125,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c7|mchat_faq_c8|mchat_faq_c6|nimh_asd_c1|nimh_asd_c2,M-CHAT Parent and Professional FAQ|NIMH Autism Spectrum Disorder,1.55,1.0,1,0.0,0,2026-08-25T04:04:18.015520,
P011,next_steps_referral,Should I have my child tested for a mitochondrial disease?,mistral-7b,few_shot,"I am not able to provide information about mitochondrial disease testing. If you have concerns about your child's health, it is important to speak with a healthcare professional who can assess their needs and recommend appropriate tests or treatments.",2688.3,1896,48,CDC Frequently Asked Questions about Autism Spectrum Disorder,verbatim_source_answer,1,1,completion,mchat_faq_c1|mchat_faq_c2|mchat_faq_c0|nz_autism_guideline_summary_c51|nz_autism_guideline_summary_c52,M-CHAT Parent and Professional FAQ|Aotearoa New Zealand Autism Guideline Summary,1.59,1.0,1,0.0,0,2026-08-25T04:04:20.710185,
P012,general_autism_knowledge,What is autism spectrum disorder?,mistral-7b,few_shot,"Autism spectrum disorder (ASD) is a neurological and developmental disorder that affects how people interact with others, communicate, learn, and behave. It can be diagnosed at any age, but it is often described as a ""developmental disorder"" because symptoms generally appear in the first two years of life. People with ASD may have difficulty with social communication and interaction with other people, restricted interests and repetitive behaviors, and symptoms that affect their ability to function in school, work, or other areas of life.

What are the symptoms of autism?",6327.56,1817,118,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c0|nimh_asd_c1|who_qa_c0|who_qa_c1|nichd_symptoms_c0,NIMH Autism Spectrum Disorder|WHO Autism Questions and Answers|NICHD What are the symptoms of autism?,1.57,1.0,1,0.0,0,2026-08-25T04:04:27.044127,
P013,general_autism_knowledge,What causes ASD?,mistral-7b,few_shot,"The exact cause of autism spectrum disorder (ASD) is not known, but it is believed to be a combination of genetic and environmental factors. Some factors that are associated with an increased likelihood of developing ASD include having a sibling with ASD, older parents, certain genetic conditions, very low birth weight, and other environmental factors. It's important to note that not everyone who has these factors will develop ASD.",4489.09,1819,88,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c6|nimh_asd_c7|nimh_asd_c5|nichd_causes_c0|nichd_causes_c1,NIMH Autism Spectrum Disorder|NICHD What causes autism?,1.49,1.0,1,0.0,0,2026-08-25T04:04:31.539413,
P014,diagnosis_boundary,How is ASD diagnosed?,mistral-7b,few_shot,"ASD is diagnosed by evaluating a person's behavior and development. It can usually be reliably diagnosed by the age of 2, but it is important to seek an evaluation as soon as possible. The earlier ASD is diagnosed, the sooner treatments and services can begin. Diagnosis in young children is often a two-stage process that includes general developmental screening during well-child checkups with a pediatrician or early childhood health care provider. Additional screenings may be recommended if necessary based on the results of these initial assessments.",5632.07,1846,114,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c6|nimh_asd_c7|nimh_asd_c5|nimh_asd_c0|nimh_asd_c1,NIMH Autism Spectrum Disorder,1.52,1.0,1,0.0,0,2026-08-25T04:04:37.177793,
P015,screening_referral,What happens during general developmental screening during well-child checkups?,mistral-7b,few_shot,"During general developmental screening during well-child checkups, a child's behavior and development are evaluated. The American Academy of Pediatrics recommends that all children receive screening for developmental delays at their 9-, 18-, and 24- or 30-month well-child visits, with specific autism screenings at the 18- and 24-month well-child",4534.6,1849,88,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c7|nimh_asd_c8|nimh_asd_c6|nimh_asd_c9|mchat_faq_c6,NIMH Autism Spectrum Disorder|M-CHAT Parent and Professional FAQ,1.57,1.0,1,0.0,0,2026-08-25T04:04:41.718773,
P016,diagnosis_boundary,What happens during an additional diagnostic evaluation?,mistral-7b,few_shot,"During an additional diagnostic evaluation for autism spectrum disorder (ASD), a team of health care providers with experience diagnosing ASD will conduct a comprehensive evaluation. This may include medical and neurological examinations, assessment of cognitive abilities, speech and language abilities, observation of behavior, in-depth conversation with the child's caregivers about their behavior and development, assessment of age-appropriate skills needed to complete daily activities independently, such as eating, dressing, and toileting, questions about the child's family history, blood tests, and a hearing test. The outcome of this evaluation may result in a formal diagnosis and recommendations for treatment.",6544.08,1867,133,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c9|nimh_asd_c10|nimh_asd_c8|nimh_asd_c11|mchat_scoring_c2,NIMH Autism Spectrum Disorder|Scoring M-CHAT-R/F,1.9,1.0,1,0.0,0,2026-08-25T04:04:48.270698,
P017,diagnosis_boundary,How is ASD diagnosed in older children and adolescents?,mistral-7b,few_shot,"ASD can be diagnosed in older children and adolescents through a comprehensive evaluation that includes an assessment of their social difficulties, including problems with subtle communication. The evaluation may involve a primary health care provider or a specialist who specializes in ASD. It is important to seek an evaluation as soon as possible so that treatments and services can begin if needed.",3752.81,1846,72,NIMH Autism Spectrum Disorder,verbatim_source_section_answer,1,1,completion,nimh_asd_c11|nimh_asd_c12|nimh_asd_c10|nimh_asd_c6|nimh_asd_c7,NIMH Autism Spectrum Disorder,1.58,1.0,1,0.0,0,2026-08-25T04:04:52.029917,
